"","Year","month","month_name","area","Source","monthly_mean_temperature","monthly_mean_salinity","monthly_mean_stratification","monthly_mean_density_stratification","monthly_mean_density","n_casts","mean_latitude","mean_longitude","month_label"
"28",2018,10,"October","Prince5",NA,12.411603817573,32.610523223877,0.00489997863769531,0.123865955932615,1024.73483363947,1,44.9306983947754,-66.8495025634766,"Oct"
"29",2018,11,"November","Prince5",NA,9.98731917601365,32.7312635275034,0.0146493911743164,0.110847788661431,1025.26235346954,1,44.9306983947754,-66.8495025634766,"Nov"
"30",2019,6,"June","Prince5",NA,7.01822401010073,31.3667471225445,0.464100122451782,0.3581885974221,1024.6361861727,2,44.9306983947754,-66.8495025634766,"Jun"
"31",2019,6,"June","Scots Bay","HSC",7.95191243519048,31.8406183661905,0.0718221794999998,0.193020499999989,1024.88045626786,2,45.05655,-65.2152,"Jun"
"32",2019,7,"July","Prince5",NA,9.56148743629456,31.4660972448496,1.14987516403198,0.542168464529595,1024.3438959521,2,44.9306983947754,-66.8495025634766,"Jul"
"33",2019,7,"July","Prince5",NA,9.73361489864496,31.462286059673,0.0905876159667969,0.136477584698724,1024.3114330643,8,45.1903247833252,-65.2037487030029,"Jul"
"34",2019,7,"July","Scots Bay","DFO",9.73361489864496,31.462286059673,0.0905876159667969,0.136477584698724,1024.3114330643,8,45.1903247833252,-65.2037487030029,"Jul"
"35",2019,7,"July","Scots Bay","HSC",10.5506645920299,31.4766370524021,0.184551406833334,0.193140999999931,1024.18117477008,6,45.148794445,-65.153641665,"Jul"
"36",2019,8,"August","German Bank","HSC",10.3602530196205,32.5486480741807,0.38107685425,0.171644250000043,1025.04278874759,4,43.5042166675,-66.3523533325,"Aug"
"37",2019,8,"August","Prince5",NA,11.7010856958536,31.744762310615,0.60527515411377,0.319213826525811,1024.19556161082,2,44.9306983947754,-66.8495025634766,"Aug"
"38",2019,8,"August","Scots Bay","HSC",12.2248819273735,32.2855161759277,0.180745506000001,0.22893160000001,1024.51460766024,5,45.13778,-65.05923,"Aug"
"39",2019,9,"September","German Bank","HSC",11.4959765744232,32.3391569219145,0.601975136000001,0.627097000000003,1024.69188100582,5,43.425807334,-66.358490666,"Sep"
"40",2019,9,"September","Prince5",NA,12.0748615448291,32.0214547377366,0.334400177001953,0.244016225762607,1024.34158557121,2,44.9306983947754,-66.8495025634766,"Sep"
"41",2019,9,"September","Scots Bay","HSC",12.1244494813855,32.3767683343976,0.1201999475,0.163244249999991,1024.60831269578,4,45.104555,-65.0793783325,"Sep"
"42",2019,10,"October","German Bank","HSC",12.2483588448193,31.3946007501205,0.0566247299999993,0.0911210000000438,1023.82403256627,1,43.28953333,-66.29406667,"Oct"
"43",2019,10,"October","Prince5",NA,11.8943076867324,32.2151176012479,0.0597753524780273,0.115602545184515,1024.52539653522,2,44.9306983947754,-66.8495025634766,"Oct"
"44",2019,11,"November","Prince5",NA,10.7101277938256,32.4642288501446,0.400099754333496,0.20658815308343,1024.93114398383,2,44.9306983947754,-66.8495025634766,"Nov"
"45",2020,6,"June","Scots Bay","HSC",8.37473848719441,31.2318792453655,0.230789527857143,0.237614142857199,1024.33656820666,7,45.1483935714286,-65.1826169042857,"Jun"
"46",2020,7,"July","Prince5",NA,10.9793788469755,31.6992171360896,0.39639949798584,0.308843102299761,1024.28910046726,1,44.9306983947754,-66.8495025634766,"Jul"
"47",2020,7,"July","Prince5",NA,11.3747720626684,31.607666345743,0.119024753570557,0.158309661799876,1024.14815048319,4,45.2277488708496,-65.2447509765625,"Jul"
"48",2020,7,"July","Scots Bay","DFO",11.3747720626684,31.607666345743,0.119024753570557,0.158309661799876,1024.14815048319,4,45.2277488708496,-65.2447509765625,"Jul"
"49",2020,7,"July","Scots Bay","HSC",9.85302669462681,32.9172200601139,1.2153511285,1.09788100000003,1025.42568133954,2,45.0529,-65.21975,"Jul"
"50",2020,8,"August","German Bank","HSC",13.5798711107229,32.7254226175904,2.55192736,0.785948999999846,1024.59175426506,1,43.57085,-66.4913,"Aug"
"51",2020,8,"August","Prince5",NA,11.8350154069754,32.0026005965013,0.478750228881836,0.273719345899508,1024.37138301913,1,44.9306983947754,-66.8495025634766,"Aug"
"52",2020,8,"August","Scots Bay","HSC",12.2436110521084,32.4914670955422,0.0817099399999996,0.12862599999994,1024.67517504819,2,45.0416,-65.2319,"Aug"
"53",2020,9,"September","German Bank","HSC",12.4980004931446,32.2925951802224,1.97100421333333,0.758498000000069,1024.46842713384,3,43.4370266666667,-66.3760133333333,"Sep"
"54",2020,9,"September","Prince5",NA,12.6300229659447,32.4785344050481,0.167950630187988,0.169161127830876,1024.59065506436,1,44.9306983947754,-66.8495025634766,"Sep"
"55",2020,9,"September","Scots Bay","HSC",12.8380375937349,32.6457358686747,0.0813213800000003,0.0645549999999275,1024.68062093976,1,45.0351,-65.225,"Sep"
"56",2020,10,"October","German Bank","HSC",12.3878065281034,32.1717500806897,0.0578784799999994,0.185220000000072,1024.38320239655,1,43.303,-66.299,"Oct"
"57",2020,10,"October","Prince5",NA,12.0408691993127,32.7413156949557,0.0893001556396484,0.157169871460837,1024.90640665628,1,44.9306983947754,-66.8495025634766,"Oct"
"58",2020,11,"November","Prince5",NA,10.5354404816261,32.6392348362849,0.0848007202148438,0.200271962979286,1025.09776807861,1,44.9306983947754,-66.8495025634766,"Nov"
"59",2021,6,"June","Prince5",NA,9.10904519374554,31.6816788453322,0.74317455291748,0.380782301267232,1024.58362019245,2,44.9306983947754,-66.8495025634766,"Jun"
"60",2021,6,"June","Scots Bay","HSC",8.83077238554217,31.7900303614458,0.1892385,0.208999999999946,1024.70743975904,2,45.04585,-65.213172,"Jun"
"61",2021,7,"July","Prince5",NA,11.547306739367,31.7678220455463,0.686574935913086,0.376766162571982,1024.24148833772,2,44.9306983947754,-66.8495025634766,"Jul"
"62",2021,7,"July","Scots Bay","HSC",11.3879906024096,32.3336851807229,0.074580000000001,0.104000000000042,1024.71055421687,1,45.0505,-65.2129,"Jul"
"63",2021,8,"August","German Bank","HSC",11.7186445783133,32.8270426506024,3.01735,1.01600000000008,1025.02992771084,1,43.5763,-66.3637,"Aug"
"64",2021,8,"August","Prince5",NA,13.134423164221,32.0607456060556,0.098325252532959,0.152813562981123,1024.16899108052,2,44.9306983947754,-66.8495025634766,"Aug"
"65",2021,8,"August","Scots Bay","HSC",12.7294733333333,32.4913259839357,0.2984,0.167666666666643,1024.58116465863,3,45.0529333333333,-65.2178333333333,"Aug"
"66",2021,9,"September","German Bank","HSC",11.6473755511464,32.9692877579365,0.6176,0.595499999999902,1025.15664506173,2,43.579,-66.36595,"Sep"
"67",2021,9,"September","Prince5",NA,13.0822731348184,32.5030213135939,0.427975654602051,0.304686962075266,1024.52135505282,2,44.9306983947754,-66.8495025634766,"Sep"
"68",2021,9,"September","Scots Bay","HSC",13.1885144578313,32.7465275903614,0.0145799999999987,0.106999999999971,1024.6896746988,1,45.0581,-65.2164,"Sep"
"69",2021,10,"October","German Bank","HSC",13.0026140963855,32.6080356626506,1.25231,1.02600000000007,1024.61885542169,1,43.5819,-66.3665,"Oct"
"70",2021,10,"October","Prince5",NA,13.133599959887,32.6293441332304,0.108974933624268,0.181733893451451,1024.60900881097,2,44.9306983947754,-66.8495025634766,"Oct"
