"","file","cast","date","station_id","latitude","longitude","area","is_prince5","in_germanseal","in_scotsbay","depth","temperature","salinity"
"58","2017.nc",5117,2017-06-14,"Prince-5",44.9306983947754,-66.8495025634766,"Prince5",TRUE,FALSE,FALSE,57,6.57639980316162,31.4146995544434
"59","2017.nc",5117,2017-06-14,"Prince-5",44.9306983947754,-66.8495025634766,"Prince5",TRUE,FALSE,FALSE,58,6.56454992294312,31.4207496643066
"60","2017.nc",5117,2017-06-14,"Prince-5",44.9306983947754,-66.8495025634766,"Prince5",TRUE,FALSE,FALSE,59,6.55964994430542,31.4243011474609
"61","2017.nc",5117,2017-06-14,"Prince-5",44.9306983947754,-66.8495025634766,"Prince5",TRUE,FALSE,FALSE,60,6.55924987792969,31.4272994995117
"62","2017.nc",5117,2017-06-14,"Prince-5",44.9306983947754,-66.8495025634766,"Prince5",TRUE,FALSE,FALSE,61,6.55850028991699,31.4289512634277
"63","2017.nc",5117,2017-06-14,"Prince-5",44.9306983947754,-66.8495025634766,"Prince5",TRUE,FALSE,FALSE,62,6.55070018768311,31.4338493347168
"64","2017.nc",5117,2017-06-14,"Prince-5",44.9306983947754,-66.8495025634766,"Prince5",TRUE,FALSE,FALSE,63,6.5440502166748,31.4375991821289
"65","2017.nc",5117,2017-06-14,"Prince-5",44.9306983947754,-66.8495025634766,"Prince5",TRUE,FALSE,FALSE,64,6.5398998260498,31.4410514831543
"66","2017.nc",5117,2017-06-14,"Prince-5",44.9306983947754,-66.8495025634766,"Prince5",TRUE,FALSE,FALSE,65,6.53574991226196,31.444149017334
"67","2017.nc",5117,2017-06-14,"Prince-5",44.9306983947754,-66.8495025634766,"Prince5",TRUE,FALSE,FALSE,66,6.53285026550293,31.4458999633789
"68","2017.nc",5117,2017-06-14,"Prince-5",44.9306983947754,-66.8495025634766,"Prince5",TRUE,FALSE,FALSE,67,6.53110027313232,31.4464988708496
"69","2017.nc",5117,2017-06-14,"Prince-5",44.9306983947754,-66.8495025634766,"Prince5",TRUE,FALSE,FALSE,68,6.52950000762939,31.4474983215332
"70","2017.nc",5117,2017-06-14,"Prince-5",44.9306983947754,-66.8495025634766,"Prince5",TRUE,FALSE,FALSE,69,6.51929998397827,31.4531002044678
"71","2017.nc",5117,2017-06-14,"Prince-5",44.9306983947754,-66.8495025634766,"Prince5",TRUE,FALSE,FALSE,70,6.47499990463257,31.4678001403809
"72","2017.nc",5117,2017-06-14,"Prince-5",44.9306983947754,-66.8495025634766,"Prince5",TRUE,FALSE,FALSE,71,6.38045024871826,31.5093994140625
"73","2017.nc",5117,2017-06-14,"Prince-5",44.9306983947754,-66.8495025634766,"Prince5",TRUE,FALSE,FALSE,72,6.27839994430542,31.5587005615234
"74","2017.nc",5117,2017-06-14,"Prince-5",44.9306983947754,-66.8495025634766,"Prince5",TRUE,FALSE,FALSE,73,6.22525024414062,31.5793991088867
"75","2017.nc",5117,2017-06-14,"Prince-5",44.9306983947754,-66.8495025634766,"Prince5",TRUE,FALSE,FALSE,74,6.10165023803711,31.6387996673584
"76","2017.nc",5117,2017-06-14,"Prince-5",44.9306983947754,-66.8495025634766,"Prince5",TRUE,FALSE,FALSE,75,6.00549983978271,31.6935501098633
"77","2017.nc",5117,2017-06-14,"Prince-5",44.9306983947754,-66.8495025634766,"Prince5",TRUE,FALSE,FALSE,76,5.91965007781982,31.7350997924805
"78","2017.nc",5117,2017-06-14,"Prince-5",44.9306983947754,-66.8495025634766,"Prince5",TRUE,FALSE,FALSE,77,5.86614990234375,31.7620010375977
"79","2017.nc",5117,2017-06-14,"Prince-5",44.9306983947754,-66.8495025634766,"Prince5",TRUE,FALSE,FALSE,78,5.84809970855713,31.7730503082275
"80","2017.nc",5117,2017-06-14,"Prince-5",44.9306983947754,-66.8495025634766,"Prince5",TRUE,FALSE,FALSE,79,5.83160018920898,31.7832489013672
"81","2017.nc",5117,2017-06-14,"Prince-5",44.9306983947754,-66.8495025634766,"Prince5",TRUE,FALSE,FALSE,80,5.81680011749268,31.7913513183594
"82","2017.nc",5117,2017-06-14,"Prince-5",44.9306983947754,-66.8495025634766,"Prince5",TRUE,FALSE,FALSE,81,5.81365013122559,31.7945499420166
"83","2017.nc",5117,2017-06-14,"Prince-5",44.9306983947754,-66.8495025634766,"Prince5",TRUE,FALSE,FALSE,82,5.80949974060059,31.7979011535645
"84","2017.nc",5117,2017-06-14,"Prince-5",44.9306983947754,-66.8495025634766,"Prince5",TRUE,FALSE,FALSE,83,5.80564975738525,31.8008499145508
"85","2017.nc",5117,2017-06-14,"Prince-5",44.9306983947754,-66.8495025634766,"Prince5",TRUE,FALSE,FALSE,84,5.80305004119873,31.8035011291504
"86","2017.nc",5117,2017-06-14,"Prince-5",44.9306983947754,-66.8495025634766,"Prince5",TRUE,FALSE,FALSE,85,5.80175018310547,31.8049011230469
"87","2017.nc",5117,2017-06-14,"Prince-5",44.9306983947754,-66.8495025634766,"Prince5",TRUE,FALSE,FALSE,86,5.80084991455078,31.8056488037109
"88","2017.nc",5117,2017-06-14,"Prince-5",44.9306983947754,-66.8495025634766,"Prince5",TRUE,FALSE,FALSE,87,5.79904985427856,31.8072509765625
"89","2017.nc",5117,2017-06-14,"Prince-5",44.9306983947754,-66.8495025634766,"Prince5",TRUE,FALSE,FALSE,88,5.79739999771118,31.8087005615234
