"","date","station_id","latitude","longitude","area","depth","temperature","salinity","Year","cast","Source","file","is_prince5","in_germanseal","in_scotsbay"
"45",2019-07-21,NA,45.31366667,-65.03133333,"Scots Bay",8.228030675,11.11105723,31.00891835,2019,"10J101609_20190721_154422","HSC",NA,FALSE,FALSE,TRUE
"46",2019-07-21,NA,45.31366667,-65.03133333,"Scots Bay",12.41663468,11.0976329,31.07535195,2019,"10J101609_20190721_154422","HSC",NA,FALSE,FALSE,TRUE
"47",2019-07-21,NA,45.31366667,-65.03133333,"Scots Bay",16.60504314,11.09374331,31.08476962,2019,"10J101609_20190721_154422","HSC",NA,FALSE,FALSE,TRUE
"48",2019-07-21,NA,45.31366667,-65.03133333,"Scots Bay",12.71581144,11.10160673,31.07144846,2019,"10J101609_20190721_154422","HSC",NA,FALSE,FALSE,TRUE
"49",2019-07-21,NA,45.31366667,-65.03133333,"Scots Bay",16.90421211,11.09196866,31.08561758,2019,"10J101609_20190721_154422","HSC",NA,FALSE,FALSE,TRUE
"50",2019-07-21,NA,45.31366667,-65.03133333,"Scots Bay",13.01498878,11.09457489,31.06661334,2019,"10J101609_20190721_154422","HSC",NA,FALSE,FALSE,TRUE
"51",2019-07-21,NA,45.31366667,-65.03133333,"Scots Bay",9.125607621,11.12700478,31.02914013,2019,"10J101609_20190721_154422","HSC",NA,FALSE,FALSE,TRUE
"52",2019-07-21,NA,45.31366667,-65.03133333,"Scots Bay",13.31416464,11.08806072,31.07839368,2019,"10J101609_20190721_154422","HSC",NA,FALSE,FALSE,TRUE
"53",2019-07-21,NA,45.31366667,-65.03133333,"Scots Bay",17.50254846,11.0897377,31.08887301,2019,"10J101609_20190721_154422","HSC",NA,FALSE,FALSE,TRUE
"54",2019-07-21,NA,45.31366667,-65.03133333,"Scots Bay",5.535220374,11.13193734,30.95704103,2019,"10J101609_20190721_154422","HSC",NA,FALSE,FALSE,TRUE
"55",2019-07-21,NA,45.31366667,-65.03133333,"Scots Bay",7.031240693,11.0936037,31.01102388,2019,"10J101609_20190721_154422","HSC",NA,FALSE,FALSE,TRUE
"56",2019-07-21,NA,45.31366667,-65.03133333,"Scots Bay",5.834430333,11.1183367,30.97784199,2019,"10J101609_20190721_154422","HSC",NA,FALSE,FALSE,TRUE
"57",2019-07-21,NA,45.31366667,-65.03133333,"Scots Bay",11.21991437,11.12454657,31.05413674,2019,"10J101609_20190721_154422","HSC",NA,FALSE,FALSE,TRUE
"58",2019-07-21,NA,45.31366667,-65.03133333,"Scots Bay",10.02317446,11.11770739,31.03631906,2019,"10J101609_20190721_154422","HSC",NA,FALSE,FALSE,TRUE
"59",2019-07-21,NA,45.31366667,-65.03133333,"Scots Bay",6.133635796,11.11033644,30.98877702,2019,"10J101609_20190721_154422","HSC",NA,FALSE,FALSE,TRUE
"60",2019-07-21,NA,45.31366667,-65.03133333,"Scots Bay",7.629636108,11.12652828,31.01365082,2019,"10J101609_20190721_154422","HSC",NA,FALSE,FALSE,TRUE
"61",2019-07-21,NA,45.31366667,-65.03133333,"Scots Bay",6.432839732,11.10394841,30.98507298,2019,"10J101609_20190721_154422","HSC",NA,FALSE,FALSE,TRUE
"62",2019-07-21,NA,45.31366667,-65.03133333,"Scots Bay",11.81827867,11.10572957,31.06704637,2019,"10J101609_20190721_154422","HSC",NA,FALSE,FALSE,TRUE
"63",2019-07-21,NA,45.31366667,-65.03133333,"Scots Bay",10.62154577,11.1141741,31.05218343,2019,"10J101609_20190721_154422","HSC",NA,FALSE,FALSE,TRUE
"64",2019-07-21,NA,45.31366667,-65.03133333,"Scots Bay",5.236005907,11.15350652,30.94905125,2019,"10J101609_20190721_154422","HSC",NA,FALSE,FALSE,TRUE
"65",2019-07-21,NA,45.31366667,-65.03133333,"Scots Bay",9.424797748,11.12469576,31.04470642,2019,"10J101609_20190721_154422","HSC",NA,FALSE,FALSE,TRUE
"66",2019-07-21,NA,45.31366667,-65.03133333,"Scots Bay",25.13977203,11.13933182,31.21056717,2019,"10J101609_20190721_154422","HSC",NA,FALSE,FALSE,TRUE
