"","source","cast","Year","month","date","station","latitude","longitude","maxDepth","n_depths","mean_temp","mean_salinity","surface_temp","bottom_temp","surface_salinity","bottom_salinity","temp_stratification","salinity_stratification"
"40","DFO","18PE92001-154909",1992,10,1992-10-30,"154909",43.5667,-66.4,26.7826203261208,6,9.74666666666667,31.8466666666667,9.92,9.712,31.59,31.898,0.208,0.308
"41","DFO","18PE92001-154910",1992,10,1992-10-30,"154910",43.65,-66.5333,26.7824146675873,9,9.46444444444444,32.1,9.44,9.484,32.0375,32.15,-0.0440000000000005,0.112499999999997
"42","DFO","18PE94001-155132",1993,10,1993-10-26,"155132",43.5667,-66.4,24.7988427870731,12,9.80666666666667,32.9066666666667,9.604,10.002,32.828,32.992,-0.398000000000001,0.163999999999994
"43","DFO","18PE94001-155133",1993,10,1993-10-26,"155133",43.5167,-66.3,22.8151511558273,11,9.87454545454545,32.97,9.3925,10.225,32.765,33.125,-0.8325,0.359999999999999
"44","DFO","18PE94001-155134",1993,10,1993-10-26,"155134",43.6333,-66.2333,28.7662020239698,9,9.02666666666667,32.35,8.92333333333333,9.155,32.27,32.43,-0.231666666666666,0.159999999999997
"45","DFO","18PE94001-155135",1993,10,1993-10-26,"155135",43.6833,-66.3,24.7985762297789,11,9.47818181818182,32.4663636363636,9.498,9.454,32.454,32.482,0.0439999999999987,0.0279999999999987
"46","DFO","VIC2009057-005",2009,10,2009-10-28,"005",43.3668,-66.1517,29.7587987929944,30,11.8738666666667,31.2075333333333,11.89288,11.8481909090909,31.19739,31.2207818181818,0.04468909090909,0.0233918181818211
"47","DFO","VIC2009057-006",2009,10,2009-10-28,"006",43.6392,-66.2333,29.7580516868882,30,11.39777,31.24589,11.39519,11.4016727272727,31.24471,31.2477727272727,-0.00648272727272747,0.00306272727272727
"48","DFO","VIC2009057-007",2009,10,2009-10-28,"007",43.692,-66.3,29.7579068328745,30,11.3946133333333,31.3057266666667,11.42415,11.3506181818182,31.29488,31.3206818181818,0.0735318181818165,0.0258018181818187
"49","DFO","VIC2009057-008",2009,10,2009-10-28,"008",43.5282,-66.3198,29.7583561682853,30,11.51472,31.3904388888889,11.58384,11.4327272727273,NA,31.4086636363636,0.151112727272727,NA
"50","DFO","VIC2009057-009",2009,10,2009-10-28,"009",43.5852,-66.4198,29.7581998201389,27,11.6453730769231,31.2647333333333,11.6399142857143,11.6420636363636,NA,31.2864636363636,-0.00214935064935062,NA
