"file","cast","date","station_id","latitude","longitude","depth","temperature","salinity"
"2020.nc",5700,2020-10-15,"Prince-5",44.9306983947754,-66.8495025634766,37,11.9764995574951,32.7713012695312
"2020.nc",5700,2020-10-15,"Prince-5",44.9306983947754,-66.8495025634766,38,11.9716997146606,32.7728004455566
"2020.nc",5700,2020-10-15,"Prince-5",44.9306983947754,-66.8495025634766,39,11.9700498580933,32.7737503051758
"2020.nc",5700,2020-10-15,"Prince-5",44.9306983947754,-66.8495025634766,40,11.9700002670288,32.7738990783691
"2020.nc",5700,2020-10-15,"Prince-5",44.9306983947754,-66.8495025634766,41,11.9699993133545,32.7739486694336
"2020.nc",5700,2020-10-15,"Prince-5",44.9306983947754,-66.8495025634766,42,11.9694499969482,32.7743530273438
"2020.nc",5700,2020-10-15,"Prince-5",44.9306983947754,-66.8495025634766,43,11.9704999923706,32.7739486694336
"2020.nc",5700,2020-10-15,"Prince-5",44.9306983947754,-66.8495025634766,44,11.9704494476318,32.7738990783691
"2020.nc",5700,2020-10-15,"Prince-5",44.9306983947754,-66.8495025634766,45,11.9719495773315,32.7733001708984
"2020.nc",5700,2020-10-15,"Prince-5",44.9306983947754,-66.8495025634766,46,11.9732999801636,32.7726516723633
"2020.nc",5700,2020-10-15,"Prince-5",44.9306983947754,-66.8495025634766,47,11.9738502502441,32.7724990844727
"2020.nc",5700,2020-10-15,"Prince-5",44.9306983947754,-66.8495025634766,48,11.9703998565674,32.7739486694336
"2020.nc",5700,2020-10-15,"Prince-5",44.9306983947754,-66.8495025634766,49,11.9709997177124,32.7735977172852
"2020.nc",5700,2020-10-15,"Prince-5",44.9306983947754,-66.8495025634766,50,11.9704494476318,32.7740478515625
"2020.nc",5700,2020-10-15,"Prince-5",44.9306983947754,-66.8495025634766,51,11.9694995880127,32.7742004394531
"2020.nc",5700,2020-10-15,"Prince-5",44.9306983947754,-66.8495025634766,52,11.9702501296997,32.7742500305176
"2020.nc",5700,2020-10-15,"Prince-5",44.9306983947754,-66.8495025634766,53,11.9708995819092,32.7741012573242
"2020.nc",5700,2020-10-15,"Prince-5",44.9306983947754,-66.8495025634766,54,11.9702501296997,32.774299621582
"2020.nc",5700,2020-10-15,"Prince-5",44.9306983947754,-66.8495025634766,55,11.9678993225098,32.7755508422852
"2020.nc",5700,2020-10-15,"Prince-5",44.9306983947754,-66.8495025634766,56,11.9650993347168,32.7770004272461
"2020.nc",5700,2020-10-15,"Prince-5",44.9306983947754,-66.8495025634766,57,11.940450668335,32.78955078125
"2020.nc",5700,2020-10-15,"Prince-5",44.9306983947754,-66.8495025634766,58,11.9160499572754,32.8005981445312
"2020.nc",5700,2020-10-15,"Prince-5",44.9306983947754,-66.8495025634766,59,11.9077491760254,32.8042526245117
"2020.nc",5700,2020-10-15,"Prince-5",44.9306983947754,-66.8495025634766,60,11.9055004119873,32.8055000305176
"2020.nc",5700,2020-10-15,"Prince-5",44.9306983947754,-66.8495025634766,61,11.904899597168,32.8060493469238
"2020.nc",5700,2020-10-15,"Prince-5",44.9306983947754,-66.8495025634766,62,11.9069004058838,32.8049507141113
"2020.nc",5700,2020-10-15,"Prince-5",44.9306983947754,-66.8495025634766,63,11.9082498550415,32.8040008544922
"2020.nc",5700,2020-10-15,"Prince-5",44.9306983947754,-66.8495025634766,64,11.9049501419067,32.805850982666
"2020.nc",5700,2020-10-15,"Prince-5",44.9306983947754,-66.8495025634766,65,11.9053497314453,32.8060989379883
"2020.nc",5700,2020-10-15,"Prince-5",44.9306983947754,-66.8495025634766,66,11.9103498458862,32.8044509887695
"2020.nc",5700,2020-10-15,"Prince-5",44.9306983947754,-66.8495025634766,67,11.9127998352051,32.803050994873
"2020.nc",5700,2020-10-15,"Prince-5",44.9306983947754,-66.8495025634766,68,11.9152507781982,32.8019485473633
"2020.nc",5700,2020-10-15,"Prince-5",44.9306983947754,-66.8495025634766,69,11.911449432373,32.8040504455566
"2020.nc",5700,2020-10-15,"Prince-5",44.9306983947754,-66.8495025634766,70,11.9100494384766,32.8046493530273
"2020.nc",5700,2020-10-15,"Prince-5",44.9306983947754,-66.8495025634766,71,11.9072494506836,32.8058013916016
"2020.nc",5700,2020-10-15,"Prince-5",44.9306983947754,-66.8495025634766,72,11.8928499221802,32.813102722168
"2020.nc",5700,2020-10-15,"Prince-5",44.9306983947754,-66.8495025634766,73,11.8940000534058,32.8121032714844
"2020.nc",5700,2020-10-15,"Prince-5",44.9306983947754,-66.8495025634766,74,11.8842506408691,32.8173980712891
"2020.nc",5700,2020-10-15,"Prince-5",44.9306983947754,-66.8495025634766,75,11.8745002746582,32.8220520019531
"2020.nc",5700,2020-10-15,"Prince-5",44.9306983947754,-66.8495025634766,76,11.8730497360229,32.8219528198242
"2020.nc",5700,2020-10-15,"Prince-5",44.9306983947754,-66.8495025634766,77,11.8734998703003,32.8218002319336
"2020.nc",5700,2020-10-15,"Prince-5",44.9306983947754,-66.8495025634766,78,11.8752002716064,32.8213005065918
"2020.nc",5700,2020-10-15,"Prince-5",44.9306983947754,-66.8495025634766,79,11.8754501342773,32.8212509155273
"2020.nc",5700,2020-10-15,"Prince-5",44.9306983947754,-66.8495025634766,80,11.8785495758057,32.8198509216309
"2020.nc",5700,2020-10-15,"Prince-5",44.9306983947754,-66.8495025634766,81,11.8801002502441,32.8192520141602
"2020.nc",5700,2020-10-15,"Prince-5",44.9306983947754,-66.8495025634766,82,11.8791999816895,32.8199005126953
"2020.nc",5700,2020-10-15,"Prince-5",44.9306983947754,-66.8495025634766,83,11.8781499862671,32.8203964233398
"2020.nc",5700,2020-10-15,"Prince-5",44.9306983947754,-66.8495025634766,84,11.876350402832,32.8217010498047
"2020.nc",5700,2020-10-15,"Prince-5",44.9306983947754,-66.8495025634766,85,11.8729496002197,32.822998046875
"2020.nc",5700,2020-10-15,"Prince-5",44.9306983947754,-66.8495025634766,86,11.8688507080078,32.8251495361328
"2020.nc",5700,2020-10-15,"Prince-5",44.9306983947754,-66.8495025634766,87,11.862850189209,32.8278007507324
"2020.nc",5700,2020-10-15,"Prince-5",44.9306983947754,-66.8495025634766,88,11.8565502166748,32.8306007385254
