"file","cast","date","station_id","latitude","longitude","instrumentType","depth","temperature","salinity"
"1993.nc",1170,1993-02-19,"Prince-5",44.9333000183105,-66.8499984741211,"CT",37,1.35000002384186,31.8500003814697
"1993.nc",1170,1993-02-19,"Prince-5",44.9333000183105,-66.8499984741211,"CT",39,1.35000002384186,31.8490009307861
"1993.nc",1170,1993-02-19,"Prince-5",44.9333000183105,-66.8499984741211,"CT",41,1.35000002384186,31.8500003814697
"1993.nc",1170,1993-02-19,"Prince-5",44.9333000183105,-66.8499984741211,"CT",43,1.35000002384186,31.8490009307861
"1993.nc",1170,1993-02-19,"Prince-5",44.9333000183105,-66.8499984741211,"CT",45,1.3400000333786,31.8490009307861
"1993.nc",1170,1993-02-19,"Prince-5",44.9333000183105,-66.8499984741211,"CT",47,1.3400000333786,31.8490009307861
"1993.nc",1170,1993-02-19,"Prince-5",44.9333000183105,-66.8499984741211,"CT",49,1.3400000333786,31.8490009307861
"1993.nc",1170,1993-02-19,"Prince-5",44.9333000183105,-66.8499984741211,"CT",51,1.3400000333786,31.8479995727539
"1993.nc",1170,1993-02-19,"Prince-5",44.9333000183105,-66.8499984741211,"CT",53,1.35000002384186,31.8530006408691
"1993.nc",1170,1993-02-19,"Prince-5",44.9333000183105,-66.8499984741211,"CT",55,1.35000002384186,31.8509998321533
"1993.nc",1170,1993-02-19,"Prince-5",44.9333000183105,-66.8499984741211,"CT",57,1.36000001430511,31.8509998321533
"1993.nc",1170,1993-02-19,"Prince-5",44.9333000183105,-66.8499984741211,"CT",59,1.36000001430511,31.8519992828369
"1993.nc",1170,1993-02-19,"Prince-5",44.9333000183105,-66.8499984741211,"CT",61,1.36000001430511,31.8540000915527
"1993.nc",1170,1993-02-19,"Prince-5",44.9333000183105,-66.8499984741211,"CT",63,1.36000001430511,31.8519992828369
"1993.nc",1170,1993-02-19,"Prince-5",44.9333000183105,-66.8499984741211,"CT",65,1.36000001430511,31.8530006408691
"1993.nc",1170,1993-02-19,"Prince-5",44.9333000183105,-66.8499984741211,"CT",67,1.36000001430511,31.8530006408691
"1993.nc",1170,1993-02-19,"Prince-5",44.9333000183105,-66.8499984741211,"CT",69,1.36000001430511,31.8540000915527
"1993.nc",1170,1993-02-19,"Prince-5",44.9333000183105,-66.8499984741211,"CT",71,1.36000001430511,31.8540000915527
"1993.nc",1170,1993-02-19,"Prince-5",44.9333000183105,-66.8499984741211,"CT",73,1.36000001430511,31.8549995422363
"1993.nc",1170,1993-02-19,"Prince-5",44.9333000183105,-66.8499984741211,"CT",75,1.36000001430511,31.8540000915527
"1993.nc",1170,1993-02-19,"Prince-5",44.9333000183105,-66.8499984741211,"CT",77,1.36000001430511,31.8540000915527
"1993.nc",1170,1993-02-19,"Prince-5",44.9333000183105,-66.8499984741211,"CT",79,1.36000001430511,31.8540000915527
"1993.nc",1170,1993-02-19,"Prince-5",44.9333000183105,-66.8499984741211,"CT",81,1.36000001430511,31.8530006408691
"1993.nc",1170,1993-02-19,"Prince-5",44.9333000183105,-66.8499984741211,"CT",83,1.36000001430511,31.8680000305176
"1993.nc",1170,1993-02-19,"Prince-5",44.9333000183105,-66.8499984741211,"CT",84,1.39999997615814,31.871000289917
"1993.nc",1170,1993-02-19,"Prince-5",44.9333000183105,-66.8499984741211,"CT",87,1.47000002861023,31.8980007171631
"1993.nc",1170,1993-02-19,"Prince-5",44.9333000183105,-66.8499984741211,"CT",89,1.50999999046326,31.8980007171631
"1993.nc",1517,1993-03-10,"Prince-5",44.9333000183105,-66.8499984741211,"CT",0,0.899999976158142,31.6499996185303
"1993.nc",1517,1993-03-10,"Prince-5",44.9333000183105,-66.8499984741211,"CT",1,0.879999995231628,31.6700000762939
"1993.nc",1517,1993-03-10,"Prince-5",44.9333000183105,-66.8499984741211,"CT",3,0.870000004768372,31.6800003051758
"1993.nc",1517,1993-03-10,"Prince-5",44.9333000183105,-66.8499984741211,"CT",5,0.860000014305115,31.6800003051758
"1993.nc",1517,1993-03-10,"Prince-5",44.9333000183105,-66.8499984741211,"CT",7,0.839999973773956,31.6900005340576
"1993.nc",1517,1993-03-10,"Prince-5",44.9333000183105,-66.8499984741211,"CT",9,0.839999973773956,31.7000007629395
"1993.nc",1517,1993-03-10,"Prince-5",44.9333000183105,-66.8499984741211,"CT",11,0.829999983310699,31.7099990844727
"1993.nc",1517,1993-03-10,"Prince-5",44.9333000183105,-66.8499984741211,"CT",13,0.810000002384186,31.7199993133545
"1993.nc",1517,1993-03-10,"Prince-5",44.9333000183105,-66.8499984741211,"CT",15,0.810000002384186,31.7099990844727
"1993.nc",1517,1993-03-10,"Prince-5",44.9333000183105,-66.8499984741211,"CT",17,0.810000002384186,31.7099990844727
"1993.nc",1517,1993-03-10,"Prince-5",44.9333000183105,-66.8499984741211,"CT",19,0.810000002384186,31.7299995422363
"1993.nc",1517,1993-03-10,"Prince-5",44.9333000183105,-66.8499984741211,"CT",21,0.810000002384186,31.7299995422363
"1993.nc",1517,1993-03-10,"Prince-5",44.9333000183105,-66.8499984741211,"CT",23,0.810000002384186,31.7199993133545
"1993.nc",1517,1993-03-10,"Prince-5",44.9333000183105,-66.8499984741211,"CT",25,0.810000002384186,31.7099990844727
"1993.nc",1517,1993-03-10,"Prince-5",44.9333000183105,-66.8499984741211,"CT",27,0.810000002384186,31.7199993133545
"1993.nc",1517,1993-03-10,"Prince-5",44.9333000183105,-66.8499984741211,"CT",29,0.810000002384186,31.7299995422363
"1993.nc",1517,1993-03-10,"Prince-5",44.9333000183105,-66.8499984741211,"CT",31,0.810000002384186,31.7299995422363
