Time (Seconds),Pressure (Decibar),Temperature (Celsius),Conductivity (MicroSiemens per Centimeter)
142,22.998241206445254,14.699584007263184,39746.4609375
142.2,23.314266278312541,14.647686958312988,39877.0625
142.4,23.625641234213031,14.634002685546875,40059.796875
142.6,23.929794968189697,14.673289299011231,40334.93359375
142.8,24.229809755633156,14.763309478759766,40574.29296875
143,24.542214679795364,14.894731521606445,40707.9921875
143.2,24.857205968703667,15.020401954650879,40794.0703125
143.4,25.177354728315095,15.117801666259766,40938.28125
143.6,25.5145513700066,15.22065544128418,41156.37109375
143.8,25.808878443827012,15.33580493927002,41250.58203125
144,26.079462841866174,15.430082321166992,41348.0546875
144.2,26.338164457922918,15.507726669311523,41443.9453125
144.4,26.589118423833174,15.575380325317383,41534.484375
144.6,26.868991609714136,15.63796329498291,41547.40234375
144.8,27.151447345643923,15.670305252075195,41498.546875
145,27.451973302520976,15.664772987365723,41452.31640625
145.2,27.760758078978107,15.640354156494141,41333.71875
145.4,28.0674829189118,15.581563949584961,41263.96484375
145.6,28.356126093806431,15.507265090942383,41192.765625
145.8,28.612760143945202,15.434662818908691,41139.265625
146,28.880750547843739,15.369629859924316,40978.4140625
146.2,29.13583583089267,15.284403800964356,40742.9609375
146.4,29.424486635181832,15.151046752929688,40648.71484375
146.6,29.743078998308885,15.026346206665039,40606.9140625
146.8,30.060126409043363,14.931533813476563,40503.3828125
147,30.353419699904791,14.85704231262207,40100.91796875
147.2,30.611087533002546,14.704923629760742,39355.66015625
147.4,30.854297663463583,14.359495162963867,38559.01953125
147.6,31.10473664524298,13.862946510314941,38017.796875
147.8,31.393902433663,13.30799674987793,37839.921875
148,31.705265945471695,12.877142906188965,37709.03125
148.2,32.032124757573357,12.583600997924805,37480.390625
148.4,32.340390735202362,12.338418960571289,37384.328125
148.6,32.618715153993477,12.143161773681641,37296.390625
148.8,32.884126822540459,11.982227325439453,37176.328125
149,33.136118386106965,11.842836380004883,37131.84765625
149.2,33.410822657193,11.730762481689453,37042.015625
149.4,33.694308361384508,11.638833045959473,36932.75390625
149.6,34.009810819726404,11.543374061584473,36862.234375
149.8,34.308788009513613,11.456271171569824,36827.9375
150,34.595890046712931,11.386165618896484,36833.15625
150.2,34.838581378345843,11.339609146118164,36770.765625
150.4,35.112782109392825,11.303923606872559,36433.203125
150.6,35.421055716416362,11.182395935058594,35830.23828125
150.8,35.710740303664508,10.886687278747559,35664.609375
151,36.011792688764217,10.57756519317627,35539.7734375
151.2,36.305608593151035,10.339856147766113,35284.0859375
151.4,36.6004620951941,10.127094268798828,34784.8125
151.6,36.910807082832875,9.8092374801635742,34505.01171875
151.8,37.186560395666959,9.45190143585205,34459.9453125
152,37.453017291264715,9.193486213684082,34325.6171875
152.2,37.73186432358122,8.98665714263916,34199.484375
152.4,38.020526571962179,8.8050212860107422,33880.0859375
152.6,38.303512550811888,8.5884571075439453,33258.2734375
152.8,38.582874567259253,8.2036008834838867,33130.82421875
153,38.861725414273032,7.868708610534668,33037.6328125
153.2,39.150906461482116,7.6143531799316406,32637.572265625
