Vessel,Transect.No.,Date.Time.Start,Date.Time.End,X,Y,Xend,Yend,Dist..km.,Type,Start.Lat,Start.Lon,End.Lat,End.Lon,Survey,Location,Distance,Start,End,Duration,Speed,Year,Date
LM,NA,NA,NA,NA,NA,NA,NA,NA,Plan,45.253967,-64.7355,45.3068,-64.55,3,SB,NA,NA,NA,NA,NA,NA,NA
MS,NA,NA,NA,NA,NA,NA,NA,NA,Plan,45.065317,-65.233333,45.237433,-64.71305,3,SB,NA,NA,NA,NA,NA,NA,NA
MS,NA,NA,NA,NA,NA,NA,NA,NA,Plan,45.0798,-65.233333,45.248033,-64.72905,3,SB,NA,NA,NA,NA,NA,NA,NA
MS,NA,NA,NA,NA,NA,NA,NA,NA,Plan,45.137717,-65.233333,45.29045,-64.793017,3,SB,NA,NA,NA,NA,NA,NA,NA
FM,NA,NA,NA,NA,NA,NA,NA,NA,Plan,45.10875,-65.233333,45.26925,-64.761033,3,SB,NA,NA,NA,NA,NA,NA,NA
FM,NA,NA,NA,NA,NA,NA,NA,NA,Plan,45.268667,-64.757167,45.328333,-64.55,3,SB,NA,NA,NA,NA,NA,NA,NA
FM,NA,NA,NA,NA,NA,NA,NA,NA,Plan,45.123233,-65.233333,45.27985,-64.777017,3,SB,NA,NA,NA,NA,NA,NA,NA
LJ,NA,NA,NA,NA,NA,NA,NA,NA,Plan,45.166667,-65.233333,45.311667,-64.825,3,SB,NA,NA,NA,NA,NA,NA,NA
LJ,NA,NA,NA,NA,NA,NA,NA,NA,Plan,45.25,-65.05,45.316667,-64.833333,3,SB,NA,NA,NA,NA,NA,NA,NA
LJ,NA,NA,NA,NA,NA,NA,NA,NA,Plan,45.26305,-65.05,45.32445,-64.85,3,SB,NA,NA,NA,NA,NA,NA,NA
LJ,NA,NA,NA,NA,NA,NA,NA,NA,Plan,45.276117,-65.05,45.332217,-64.866667,3,SB,NA,NA,NA,NA,NA,NA,NA
LJ,NA,NA,NA,NA,NA,NA,NA,NA,Plan,45.289167,-65.05,45.34,-64.883333,3,SB,NA,NA,NA,NA,NA,NA,NA
