Plant,Date,Method ,Harvest_Site,Boat,bait_%,small_%,med_%,large_%,,,,,,,,,,,,,,,,,
Sea Life,15-Jun-17,1,Teardrop,Lady Janice,,11.8,,,,,,,,,,,,,,,,,,,
Sea Life,15-Jun-17,1,Teardrop,Lady Janice,,12.4,,,,,,,,,,,,,,,,,,,
Sea Life,15-Jun-17,1,Teardrop,Lady Melissa,7.2,15.2,,,,,,,,,,,,,,,,,,,
Sea Life,15-Jun-17,1,Teardrop,Lady Melissa,6.6,6.8,,,,,,,,,,,,,,,,,,,
Sea Life,15-Jun-17,1,Teardrop,Lady Melissa,9.8,5.2,,,,,,,,,,,,,,,,,,,
Sea Life,15-Jun-17,1,Teardrop,Lady Melissa,8.4,7.6,,,,,,,,,,,,,,,,,,,
Sea Life,16-Jun-17,1,Teardrop,Lady Janice,,10,10.6,,,,,,,,,,,,,,,,,,
Sea Life,16-Jun-17,1,Teardrop,Lady Janice,,7.6,,,,,,,,,,,,,,,,,,,
Sea Life,16-Jun-17,1,Teardrop,Lady Janice,,5.2,,,,,,,,,,,,,,,,,,,
Sea Life,16-Jun-17,1,Teardrop,Lady Janice,,8.8,,,,,,,,,,,,,,,,,,,
Sea Life,16-Jun-17,1,Teardrop,Lady Janice,,12.8,,,,,,,,,,,,,,,,,,,
Sea Life,16-Jun-17,1,Teardrop,Lady Janice,,12.6,,,,,,,,,,,,,,,,,,,
Sea Life,16-Jun-17,1,Teardrop,Lady Janice,,11,,,,,,,,,,,,,,,,,,,
Sea Life,16-Jun-17,1,Teardrop,Lady Melissa,,8,11.4,,,,,,,,,,,,,,,,,,
Sea Life,16-Jun-17,1,Teardrop,Lady Melissa,,11,,,,,,,,,,,,,,,,,,,
Sea Life,16-Jun-17,1,Teardrop,Lady Melissa,,2,,,,,,,,,,,,,,,,,,,
Sea Life,16-Jun-17,1,Teardrop,Lady Melissa,,5.2,,,,,,,,,,,,,,,,,,,
Sea Life,16-Jun-17,1,Teardrop,Lady Melissa,,11.6,,,,,,,,,,,,,,,,,,,
Sea Life,16-Jun-17,1,Teardrop,Lady Melissa,,7.6,,,,,,,,,,,,,,,,,,,
Sea Life,16-Jun-17,1,Teardrop,Lady Melissa,,10.6,,,,,,,,,,,,,,,,,,,
Sea Life,16-Jun-17,1,The Patch,Sealife II,,14.8,17.2,,,,,,,,,,,,,,,,,,
Sea Life,16-Jun-17,1,The Patch,Sealife II,,13.4,10.8,,,,,,,,,,,,,,,,,,
Sea Life,16-Jun-17,1,The Patch,Sealife II,,12,11,,,,,,,,,,,,,,,,,,
Sea Life,16-Jun-17,1,The Patch,Sealife II,,,18.8,,,,,,,,,,,,,,,,,,
Sea Life,16-Jun-17,1,The Patch,Sealife II,,,16.2,,,,,,,,,,,,,,,,,,
Sea Life,16-Jun-17,1,The Patch,Sealife II,,,14.6,,,,,,,,,,,,,,,,,,
Sea Life,16-Jun-17,1,The Patch,Sealife II,,,13.4,,,,,,,,,,,,,,,,,,
Sea Life,16-Jun-17,1,The Patch,Sealife II,,,8.4,,,,,,,,,,,,,,,,,,
Sea Life,16-Jun-17,1,The Patch,Sealife II,,,11.2,,,,,,,,,,,,,,,,,,
Sea Life,23-Jun-17,1,The Patch,Sealife II,,15,,,,,,,,,,,,,,,,,,,
Sea Life,23-Jun-17,1,The Patch,Sealife II,,14.6,,,,,,,,,,,,,,,,,,,
Sea Life,23-Jun-17,1,The Patch,Sealife II,,,13.8,,,,,,,,,,,,,,,,,,
Sea Life,23-Jun-17,1,The Patch,Sealife II,,,13.2,,,,,,,,,,,,,,,,,,
Sea Life,23-Jun-17,1,The Patch,Sealife II,,,13.8,,,,,,,,,,,,,,,,,,
Sea Life,23-Jun-17,1,The Patch,Sealife II,,,17,,,,,,,,,,,,,,,,,,
Sea Life,23-Jun-17,1,The Patch,Sealife II,,,16.6,,,,,,,,,,,,,,,,,,
Sea Life,23-Jun-17,1,The Patch,Sealife II,,,16.8,,,,,,,,,,,,,,,,,,
Sea Life,23-Jun-17,1,Teardrop,Lady Janice,,10.6,,,,,,,,,,,,,,,,,,,
Sea Life,23-Jun-17,1,Teardrop,Lady Janice,,4.4,,,,,,,,,,,,,,,,,,,
Sea Life,23-Jun-17,1,Teardrop,Lady Janice,,9.2,,,,,,,,,,,,,,,,,,,
Sea Life,23-Jun-17,1,Teardrop,Lady Janice,,7,,,,,,,,,,,,,,,,,,,
Sea Life,23-Jun-17,1,Teardrop,Lady Janice,,14.8,,,,,,,,,,,,,,,,,,,
Sea Life,23-Jun-17,1,Teardrop,Lady Janice,,,5,,,,,,,,,,,,,,,,,,
Sea Life,23-Jun-17,1,Teardrop,Lady Janice,,,13.6,,,,,,,,,,,,,,,,,,
Sea Life,23-Jun-17,1,Teardrop,Lady Janice,,,9,,,,,,,,,,,,,,,,,,
Sea Life,23-Jun-17,1,Scots Bay,Lady Melissa,,7,,,,,,,,,,,,,,,,,,,
Sea Life,23-Jun-17,1,Scots Bay,Lady Melissa,,4.4,,,,,,,,,,,,,,,,,,,
Sea Life,23-Jun-17,1,Scots Bay,Lady Melissa,,8.4,,,,,,,,,,,,,,,,,,,
Sea Life,23-Jun-17,1,Scots Bay,Lady Melissa,,10.2,,,,,,,,,,,,,,,,,,,
Sea Life,23-Jun-17,1,Scots Bay,Lady Melissa,,11,,,,,,,,,,,,,,,,,,,
Sea Life,23-Jun-17,1,Scots Bay,Lady Melissa,,10.2,,,,,,,,,,,,,,,,,,,
Sea Life,23-Jun-17,1,Scots Bay,Lady Melissa,,9.8,,,,,,,,,,,,,,,,,,,
Sea Life,23-Jun-17,1,Scots Bay,Lady Melissa,,,8.8,,,,,,,,,,,,,,,,,,
Sea Life,03-Jul-17,1,Scots Bay,Lady Janice,,4,,,,,,,,,,,,,,,,,,,
Sea Life,03-Jul-17,1,Scots Bay,Lady Janice,,5.6,,,,,,,,,,,,,,,,,,,
Sea Life,03-Jul-17,1,Scots Bay,Lady Janice,,7.2,,,,,,,,,,,,,,,,,,,
Sea Life,03-Jul-17,1,Scots Bay,Lady Janice,,3.6,,,,,,,,,,,,,,,,,,,
Sea Life,03-Jul-17,1,Scots Bay,Lady Janice,,4,,,,,,,,,,,,,,,,,,,
Sea Life,03-Jul-17,1,Scots Bay,Lady Janice,,4.2,,,,,,,,,,,,,,,,,,,
Sea Life,03-Jul-17,1,Scots Bay,Lady Janice,,5.2,,,,,,,,,,,,,,,,,,,
Sea Life,03-Jul-17,1,Scots Bay,Lady Janice,,3.6,,,,,,,,,,,,,,,,,,,
Sea Life,04-Jul-17,1,Scots Bay,Lady Janice,,11.4,,,,,,,,,,,,,,,,,,,
Sea Life,04-Jul-17,1,Scots Bay,Lady Janice,,2.6,,,,,,,,,,,,,,,,,,,
Sea Life,04-Jul-17,1,Scots Bay,Lady Janice,,2.6,,,,,,,,,,,,,,,,,,,
Sea Life,04-Jul-17,1,Scots Bay,Lady Janice,,4.4,,,,,,,,,,,,,,,,,,,
Sea Life,05-Jul-17,1,Scots Bay,Lady Janice,,7.2,,,,,,,,,,,,,,,,,,,
Sea Life,05-Jul-17,1,Scots Bay,Lady Janice,,6.6,,,,,,,,,,,,,,,,,,,
Sea Life,05-Jul-17,1,Scots Bay,Lady Janice,,7.8,,,,,,,,,,,,,,,,,,,
Sea Life,05-Jul-17,1,Scots Bay,Lady Janice,,6.6,,,,,,,,,,,,,,,,,,,
Sea Life,06-Jul-17,1,North East Bank,Lady Janice,10.2,,,,,,,,,,,,,,,,,,,,
Sea Life,06-Jul-17,1,North East Bank,Lady Janice,13.4,,,,,,,,,,,,,,,,,,,,
Sea Life,06-Jul-17,1,North East Bank,Lady Janice,13.6,,,,,,,,,,,,,,,,,,,,
Sea Life,06-Jul-17,1,North East Bank,Lady Janice,7,,,,,,,,,,,,,,,,,,,,
Sea Life,06-Jul-17,1,North East Bank,Lady Janice,10.6,,,,,,,,,,,,,,,,,,,,
Sea Life,06-Jul-17,1,North East Bank,Lady Janice,9.6,,,,,,,,,,,,,,,,,,,,
Sea Life,06-Jul-17,1,North East Bank,Lady Janice,9.6,,,,,,,,,,,,,,,,,,,,
Sea Life,06-Jul-17,1,North East Bank,Lady Janice,10.6,,,,,,,,,,,,,,,,,,,,
Sea Life,06-Jul-17,1,North East Bank,Lady Janice,11,,,,,,,,,,,,,,,,,,,,
Sea Life,06-Jul-17,1,North East Bank,Lady Janice,9.8,,,,,,,,,,,,,,,,,,,,
Sea Life,06-Jul-17,1,North East Bank,Lady Janice,12.6,,,,,,,,,,,,,,,,,,,,
Sea Life,06-Jul-17,1,North East Bank,Lady Janice,9.6,,,,,,,,,,,,,,,,,,,,
Sea Life,11-Jul-17,1,Southwest Ground,Lady Melissa,,18.4,,,,,,,,,,,,,,,,,,,
Sea Life,11-Jul-17,1,Southwest Ground,Lady Melissa,,11,,,,,,,,,,,,,,,,,,,
Sea Life,11-Jul-17,1,Southwest Ground,Lady Melissa,,13.2,,,,,,,,,,,,,,,,,,,
Sea Life,11-Jul-17,1,Southwest Ground,Lady Melissa,,13.8,,,,,,,,,,,,,,,,,,,
Sea Life,11-Jul-17,1,Southwest Ground,Lady Melissa,,13.2,,,,,,,,,,,,,,,,,,,
Sea Life,11-Jul-17,1,Southwest Ground,Lady Melissa,,13.6,,,,,,,,,,,,,,,,,,,
Sea Life,11-Jul-17,1,Southwest Ground,Lady Melissa,,13.6,,,,,,,,,,,,,,,,,,,
Sea Life,11-Jul-17,1,Southwest Ground,Lady Melissa,,14.6,,,,,,,,,,,,,,,,,,,
Sea Life,11-Jul-17,1,Southwest Ground,Lady Melissa,,15.8,,,,,,,,,,,,,,,,,,,
Sea Life,11-Jul-17,1,Southwest Ground,Lady Melissa,,14.6,,,,,,,,,,,,,,,,,,,
Sea Life,11-Jul-17,1,Southwest Ground,Lady Melissa,,15.4,,,,,,,,,,,,,,,,,,,
Sea Life,11-Jul-17,1,Southwest Ground,Lady Melissa,,11.6,,,,,,,,,,,,,,,,,,,
Sea Life,11-Jul-17,1,Southwest Ground,Lady Janice,,15.4,,,,,,,,,,,,,,,,,,,
Sea Life,11-Jul-17,1,Southwest Ground,Lady Janice,,14.4,,,,,,,,,,,,,,,,,,,
Sea Life,11-Jul-17,1,Southwest Ground,Lady Janice,,14.6,,,,,,,,,,,,,,,,,,,
Sea Life,11-Jul-17,1,Southwest Ground,Lady Janice,,13.6,,,,,,,,,,,,,,,,,,,
Sea Life,14-Jul-17,1,German Bank,Sealife II,,14.2,,,,,,,,,,,,,,,,,,,
Sea Life,14-Jul-17,1,German Bank,Sealife II,,13,,,,,,,,,,,,,,,,,,,
Sea Life,14-Jul-17,1,German Bank,Sealife II,,9.6,,,,,,,,,,,,,,,,,,,
Sea Life,14-Jul-17,1,German Bank,Sealife II,,9.8,,,,,,,,,,,,,,,,,,,
Sea Life,14-Jul-17,1,German Bank,Lady Melissa,,13.6,,,,,,,,,,,,,,,,,,,
Sea Life,14-Jul-17,1,German Bank,Lady Melissa,,11.6,,,,,,,,,,,,,,,,,,,
Sea Life,14-Jul-17,1,German Bank,Lady Melissa,,11.2,,,,,,,,,,,,,,,,,,,
Sea Life,14-Jul-17,1,German Bank,Lady Melissa,,11.8,,,,,,,,,,,,,,,,,,,
Sea Life,14-Jul-17,1,German Bank,Lady Janice,,14.2,,,,,,,,,,,,,,,,,,,
Sea Life,14-Jul-17,1,German Bank,Lady Janice,,12.4,,,,,,,,,,,,,,,,,,,
Sea Life,14-Jul-17,1,German Bank,Lady Janice,,11.6,,,,,,,,,,,,,,,,,,,
Sea Life,14-Jul-17,1,German Bank,Lady Janice,,12.8,,,,,,,,,,,,,,,,,,,
Sea Life,14-Jul-17,1,German Bank,Sealife II,11.8,,,,,,,,,,,,,,,,,,,,
Sea Life,14-Jul-17,1,German Bank,Sealife II,10,,,,,,,,,,,,,,,,,,,,
Sea Life,14-Jul-17,1,German Bank,Sealife II,12.8,,,,,,,,,,,,,,,,,,,,
Sea Life,14-Jul-17,1,German Bank,Sealife II,9.8,,,,,,,,,,,,,,,,,,,,
Sea Life,14-Jul-17,1,German Bank,Lady Melissa,9.4,,,,,,,,,,,,,,,,,,,,
Sea Life,14-Jul-17,1,German Bank,Lady Melissa,12.2,,,,,,,,,,,,,,,,,,,,
Sea Life,14-Jul-17,1,German Bank,Lady Melissa,10.2,,,,,,,,,,,,,,,,,,,,
Sea Life,15-Jul-17,1,German Bank,Lady Melissa,10,,,,,,,,,,,,,,,,,,,,
Sea Life,14-Jul-17,1,German Bank,Lady Janice,13.8,,,,,,,,,,,,,,,,,,,,
Sea Life,14-Jul-17,1,German Bank,Lady Janice,12.6,,,,,,,,,,,,,,,,,,,,
Sea Life,14-Jul-17,1,German Bank,Lady Janice,10.6,,,,,,,,,,,,,,,,,,,,
Sea Life,14-Jul-17,1,German Bank,Lady Janice,12,,,,,,,,,,,,,,,,,,,,
Sea Life,17-Jul-17,1,German Bank,Lady Janice,,11.8,,,,,,,,,,,,,,,,,,,
Sea Life,17-Jul-17,1,German Bank,Lady Janice,,12.8,,,,,,,,,,,,,,,,,,,
Sea Life,17-Jul-17,1,German Bank,Lady Janice,,11.4,,,,,,,,,,,,,,,,,,,
Sea Life,17-Jul-17,1,German Bank,Lady Janice,,8.2,,,,,,,,,,,,,,,,,,,
Sea Life,17-Jul-17,1,German Bank,Lady Janice,,12.4,,,,,,,,,,,,,,,,,,,
Sea Life,17-Jul-17,1,German Bank,Lady Janice,,12,,,,,,,,,,,,,,,,,,,
Sea Life,17-Jul-17,1,German Bank,Lady Janice,,11.4,,,,,,,,,,,,,,,,,,,
Sea Life,17-Jul-17,1,German Bank,Lady Janice,,11.8,,,,,,,,,,,,,,,,,,,
Sea Life,17-Jul-17,1,German Bank,Lady Janice,,10.2,,,,,,,,,,,,,,,,,,,
Sea Life,17-Jul-17,1,German Bank,Lady Janice,,9,,,,,,,,,,,,,,,,,,,
Sea Life,17-Jul-17,1,German Bank,Lady Janice,,6.6,,,,,,,,,,,,,,,,,,,
Sea Life,17-Jul-17,1,German Bank,Lady Janice,,9.6,,,,,,,,,,,,,,,,,,,
Sea Life,17-Jul-17,1,Grand Manan,Sealife II,,11.2,,,,,,,,,,,,,,,,,,,
Sea Life,17-Jul-17,1,Grand Manan,Sealife II,,6.8,,,,,,,,,,,,,,,,,,,
Sea Life,17-Jul-17,1,Grand Manan,Sealife II,,10.4,,,,,,,,,,,,,,,,,,,
Sea Life,17-Jul-17,1,Grand Manan,Sealife II,,7.8,,,,,,,,,,,,,,,,,,,
Sea Life,18-Jul-17,1,German Bank,Lady Melissa,,10,,,,,,,,,,,,,,,,,,,
Sea Life,18-Jul-17,1,German Bank,Lady Melissa,,13.4,,,,,,,,,,,,,,,,,,,
Sea Life,18-Jul-17,1,German Bank,Lady Melissa,,12.4,,,,,,,,,,,,,,,,,,,
Sea Life,18-Jul-17,1,German Bank,Lady Melissa,,12.2,,,,,,,,,,,,,,,,,,,
Sea Life,18-Jul-17,1,German Bank,Lady Melissa,,9,,,,,,,,,,,,,,,,,,,
Sea Life,18-Jul-17,1,German Bank,Lady Melissa,,12.2,,,,,,,,,,,,,,,,,,,
Sea Life,18-Jul-17,1,German Bank,Lady Melissa,,11.4,,,,,,,,,,,,,,,,,,,
Sea Life,18-Jul-17,1,German Bank,Lady Melissa,,9.8,,,,,,,,,,,,,,,,,,,
Sea Life,18-Jul-17,1,German Bank,Lady Melissa,,9,,,,,,,,,,,,,,,,,,,
Sea Life,18-Jul-17,1,German Bank,Lady Melissa,,13.2,,,,,,,,,,,,,,,,,,,
Sea Life,18-Jul-17,1,German Bank,Lady Melissa,,12.2,,,,,,,,,,,,,,,,,,,
Sea Life,18-Jul-17,1,German Bank,Lady Melissa,,11.6,,,,,,,,,,,,,,,,,,,
Sea Life,18-Jul-17,1,German Bank,Lady Melissa,,13,,,,,,,,,,,,,,,,,,,
Sea Life,18-Jul-17,1,German Bank,Lady Melissa,,12.6,,,,,,,,,,,,,,,,,,,
Sea Life,18-Jul-17,1,German Bank,Lady Melissa,,12,,,,,,,,,,,,,,,,,,,
Sea Life,18-Jul-17,1,German Bank,Lady Melissa,,,11.4,,,,,,,,,,,,,,,,,,
Sea Life,18-Jul-17,1,German Bank,Lady Melissa,,9.2,,,,,,,,,,,,,,,,,,,
Sea Life,18-Jul-17,1,German Bank,Lady Melissa,,9.4,,,,,,,,,,,,,,,,,,,
Sea Life,18-Jul-17,1,German Bank,Lady Melissa,,11.2,,,,,,,,,,,,,,,,,,,
Sea Life,18-Jul-17,1,German Bank,Lady Melissa,,7.8,,,,,,,,,,,,,,,,,,,
Sea Life,19-Jul-17,1,German Bank,Lady Melissa,,8.8,,,,,,,,,,,,,,,,,,,
Sea Life,19-Jul-17,1,German Bank,Lady Melissa,,12.6,,,,,,,,,,,,,,,,,,,
Sea Life,19-Jul-17,1,German Bank,Lady Melissa,,14,,,,,,,,,,,,,,,,,,,
Sea Life,19-Jul-17,1,German Bank,Lady Melissa,,11.2,,,,,,,,,,,,,,,,,,,
Sea Life,19-Jul-17,1,German Bank,Sealife II,,13.6,,,,,,,,,,,,,,,,,,,
Sea Life,19-Jul-17,1,German Bank,Sealife II,,10.2,,,,,,,,,,,,,,,,,,,
Sea Life,19-Jul-17,1,German Bank,Sealife II,,12.4,,,,,,,,,,,,,,,,,,,
Sea Life,19-Jul-17,1,German Bank,Sealife II,,11.6,,,,,,,,,,,,,,,,,,,
Sea Life,19-Jul-17,1,German Bank,Lady Melissa,9.2,,,,,,,,,,,,,,,,,,,,
Sea Life,19-Jul-17,1,German Bank,Lady Melissa,11.6,,,,,,,,,,,,,,,,,,,,
Sea Life,19-Jul-17,1,German Bank,Lady Melissa,12.2,,,,,,,,,,,,,,,,,,,,
Sea Life,19-Jul-17,1,German Bank,Lady Melissa,12.4,,,,,,,,,,,,,,,,,,,,
Sea Life,19-Jul-17,1,German Bank,Sealife II,8.8,,,,,,,,,,,,,,,,,,,,
