Sequence,Location,Vessel,Type,No. Filets per kg,Size (cm),Recorded,Count,#1,#2,#3,#4,#5,#6,#7,#8,Average
10,Patch,Morning Star,Fillet,10:16,,7-24-2017 15:08,8,12.1,11.2,10.9,11,9,10.3,16.4,9.3,11.3
11,Patch,Morning Star,Fillet,8:12,,7-24-2017 15:10,8,14.6,15.1,21.5,10.5,11.7,13.2,14.2,14.2,14.4
12,Patch,Morning Star,Fillet,8:12,,7-24-2017 15:10,8,15.9,15.1,13.7,17.1,10.2,15.6,14.5,9.4,13.9
13,Patch,Morning Star,Fillet,8:12,,7-24-2017 15:11,8,18.7,9.2,9.8,14.1,17.1,14.3,18,13.9,14.4
14,Patch,Morning Star,Fillet,8:12,,7-24-2017 15:12,8,9.5,18,17.5,16.3,10.6,16.4,13,19.1,15.1
15,Patch,Morning Star,Fillet,8:12,,7-24-2017 15:13,8,12.4,13.2,14.4,17.4,20,19,13.2,14,15.5
1,German Bank,Leroy and Barry,Fillet,15:22,,7-26-2017 6:57,8,11.4,5.6,9.7,17,8.8,15.1,12.3,15.4,11.9
2,German Bank,Leroy and Barry,Fillet,15:22,,7-26-2017 6:59,8,11.2,8.4,8.6,17.3,13.8,14.4,12,13.5,12.4
3,German Bank,Leroy and Barry,Fillet,15:22,,7-26-2017 7:00,8,12.2,6.8,12.1,7.7,13.1,3.8,3.8,7.5,8.4
4,German Bank,Leroy and Barry,Fillet,15:22,,7-26-2017 7:00,8,10.4,16.9,15,11.1,11.6,6.4,14.9,2.9,11.2
5,German Bank,Leroy and Barry,Fillet,15:22,,7-26-2017 7:02,8,12.7,4,12.6,11.2,7.5,9.7,4.4,11.5,9.2
6,German Bank,Leroy and Barry,Bait,,21-23,7-26-2017 8:16,8,3.9,11.2,2.1,5,7.6,3.7,4.8,5.2,5.4
7,German Bank,Leroy and Barry,Bait,,21-23,7-26-2017 8:17,8,14.7,10.7,4.6,9,5.8,14.1,3.3,3.7,8.2
8,German Bank,Leroy and Barry,Bait,,21-23,7-26-2017 8:17,8,10.3,11.4,7.9,8.6,2.8,1.7,7.1,8.1,7.2
9,German Bank,Leroy and Barry,Bait,,21-23,7-26-2017 8:28,8,9.5,11.2,11.7,3.3,6.2,4.8,2.3,10.3,7.4
10,German Bank,Leroy and Barry,Bait,,21-23,7-26-2017 8:28,8,6.1,8.2,1.7,7.8,8.8,4.3,3.2,2.7,5.4
11,German Bank,Leroy and Barry,Fillet,10:16,,7-26-2017 9:49,8,24,12.8,18.1,11.6,17.4,19,11.2,8.2,15.3
12,German Bank,Leroy and Barry,Fillet,10:16,,7-26-2017 9:50,8,11.9,14.4,12.9,8.2,11.5,13.9,19.4,8.1,12.5
13,German Bank,Leroy and Barry,Fillet,10:16,,7-26-2017 9:50,8,11.7,10.7,11.8,8.1,7.3,15.9,11.8,11.7,11.1
14,German Bank,Leroy and Barry,Fillet,10:16,,7-26-2017 9:51,8,19.7,10,12.8,15,5.3,11.9,18,12.5,13.2
15,German Bank,Leroy and Barry,Fillet,10:16,,7-26-2017 9:52,8,15.4,7,12.9,19.4,10.1,11,11,19.1,13.2
1,Patch,Morning Star,Fillet,10:16,,7-27-2017 18:47,8,12,12.4,7.9,9.4,12.3,10.8,10.4,10.6,10.7
2,Patch,Morning Star,Fillet,10:16,,7-27-2017 18:48,8,13,8.1,11.3,7.5,15.1,11.9,7.9,8.9,10.5
3,Patch,Morning Star,Fillet,10:16,,7-27-2017 18:49,8,8.4,7.9,16.4,9.9,12.4,11.4,8.9,11.4,10.8
4,Patch,Morning Star,Fillet,10:16,,7-27-2017 18:50,8,7,12.3,9.7,11.7,11.3,12.1,13.7,12.8,11.3
5,Patch,Morning Star,Fillet,10:16,,7-27-2017 18:52,8,10.5,11.4,10.6,10.9,11.8,12.2,11.7,9.5,11.1
1,German Bank,Leroy and Barry,Fillet,15:22,,7-27-2017 7:50,8,2.7,10.7,7.9,7.4,7.5,9.7,1.4,12.7,7.5
2,German Bank,Leroy and Barry,Fillet,15:22,,7-27-2017 7:52,8,7.3,3.9,6.1,1,2.9,2.6,4.7,10.3,4.9
3,German Bank,Leroy and Barry,Fillet,15:22,,7-27-2017 7:52,8,7.8,6.2,13.1,12.5,12.7,2.4,9.1,8.9,9.1
4,German Bank,Leroy and Barry,Fillet,15:22,,7-27-2017 7:53,8,8.4,14,2.9,8.1,9.8,7.3,10.5,9.9,8.9
5,German Bank,Leroy and Barry,Fillet,15:22,,7-27-2017 7:54,8,3.9,7.8,2.6,10.4,11.4,5.2,4.2,8.7,6.8
6,German Bank,Leroy and Barry,Bait,,21-23,7-27-2017 8:30,8,8.8,1.6,3.6,7.3,4.7,3.8,5.1,1.6,4.6
7,German Bank,Leroy and Barry,Bait,,21-23,7-27-2017 8:31,8,7.4,3.1,4.9,8.4,4.9,4.3,5.3,4.4,5.3
8,German Bank,Leroy and Barry,Bait,,21-23,7-27-2017 8:32,8,2,7.6,7.7,14.7,9.2,2.4,8.1,1,6.6
9,German Bank,Leroy and Barry,Bait,,21-23,7-27-2017 8:33,8,4,3.1,3.1,3.1,4.7,0.7,0.9,4.8,3.1
10,German Bank,Leroy and Barry,Bait,,21-23,7-27-2017 8:34,8,2.6,2.3,1.1,2.8,4.5,3.7,6.9,7.3,3.9
16,Patch,Morning Star,Fillet,8:12,,7-27-2017 15:49,8,14.5,15.7,11.8,4.3,14.3,16,12.5,24.1,14.2
17,Patch,Morning Star,Fillet,8:12,,7-27-2017 15:50,8,16.7,22.1,15.3,14.3,21.6,14.1,22.7,13.2,17.5
18,Patch,Morning Star,Fillet,8:12,,7-27-2017 15:50,8,12.5,17.2,16.6,21.8,15.3,12.4,17,17,16.2
19,Patch,Morning Star,Fillet,8:12,,7-27-2017 15:51,8,15.3,14.4,11.6,16.7,18,11.4,9.6,10.4,13.4
20,Patch,Morning Star,Fillet,8:12,,7-27-2017 15:52,8,12.6,12.5,11.4,11.1,13.2,17.6,2.8,3.7,10.6
1,Patch,Tasha Marie,Fillet,10:16,,7-28-2017 13:38,8,9.1,13.4,11.6,14.6,7.6,2.9,11.8,14.6,10.7
2,Patch,Tasha Marie,Fillet,10:16,,7-28-2017 13:39,8,8.5,12.5,9.7,9,12.4,10,10.6,8.5,10.2
3,Patch,Tasha Marie,Fillet,10:16,,7-28-2017 13:40,8,11.8,9.3,7.5,15.5,7.6,8.3,8.7,8.4,9.6
4,Patch,Tasha Marie,Fillet,10:16,,7-28-2017 13:41,8,16.2,12.4,3.1,11.1,13,13.7,15.1,9.8,11.8
5,Patch,Tasha Marie,Fillet,10:16,,7-28-2017 13:42,8,11.5,16.5,11.6,8.6,13.5,11.9,12.4,10.1,12
6,Patch,Tasha Marie,Fillet,8:12,,7-28-2017 13:43,8,13.1,15.2,16.1,20.4,16,7.8,10.6,14.5,14.2
7,Patch,Tasha Marie,Fillet,8:12,,7-28-2017 13:44,8,15.4,9.5,17.8,13.6,12.6,16,13.3,13.3,13.9
8,Patch,Tasha Marie,Fillet,8:12,,7-28-2017 13:44,8,10.3,10.3,11.3,10.2,16.4,16.3,11.4,14.7,12.6
9,Patch,Tasha Marie,Fillet,8:12,,7-28-2017 13:45,8,10.5,15,13.8,14.5,12.5,13.2,13.4,12.2,13.1
10,Patch,Tasha Marie,Fillet,8:12,,7-28-2017 13:46,8,13.5,11.4,14.9,7.3,11.6,15,10.4,10.7,11.9
11,Patch,Morning Star,Fillet,10:16,,7-28-2017 14:23,8,9.6,10.4,15.4,11.6,4.5,10.6,12.4,20.1,11.8
12,Patch,Morning Star,Fillet,10:16,,7-28-2017 14:24,8,10.8,19.1,12.5,9.6,8.7,9,8.3,11.1,11.1
13,Patch,Morning Star,Fillet,10:16,,7-28-2017 14:24,8,14.7,9.9,8.6,8.2,8.5,8.8,10.8,5,9.3
14,Patch,Morning Star,Fillet,10:16,,7-28-2017 14:25,8,17.1,11.6,14.4,11.7,10.9,12.1,10.3,9.6,12.2
15,Patch,Morning Star,Fillet,10:16,,7-28-2017 14:26,8,13.2,11.8,10.2,11.6,6,11.8,7.6,12.3,10.6
16,Patch,Morning Star,Fillet,8:12,,7-28-2017 14:28,8,13.5,9.8,11.7,13.2,14.4,12.6,13,16.3,13.1
17,Patch,Morning Star,Fillet,8:12,,7-28-2017 14:29,8,11.5,10,15.8,11.6,13.5,14.4,13.5,14.3,13.1
18,Patch,Morning Star,Fillet,8:12,,7-28-2017 14:30,8,13.7,9.9,11.8,11.3,11.8,14.6,13,11.1,12.2
19,Patch,Morning Star,Fillet,8:12,,7-28-2017 14:30,8,10.1,14.3,13.5,18.1,11.7,13,11.5,18.1,13.8
20,Patch,Morning Star,Fillet,8:12,,7-28-2017 14:31,8,14,11.6,10,11.9,15.9,13.7,17.9,13.1,13.5
1,Patch,Morning Star,Fillet,8:12,,7-29-2017 14:31,8,5.5,8.7,12,12.2,10.1,10.1,13.2,13.8,10.7
2,Patch,Morning Star,Fillet,8:12,,7-29-2017 14:32,8,11.2,13.5,13.7,10.7,13.2,13,12.4,13,12.6
3,Patch,Morning Star,Fillet,8:12,,7-29-2017 14:33,8,15,10.9,14,10,13.5,14.7,13.5,15.7,13.4
4,Patch,Morning Star,Fillet,8:12,,7-29-2017 14:34,8,11.5,12.7,13,10.7,11.5,11.2,12.7,13.1,12.1
5,Patch,Morning Star,Fillet,8:12,,7-29-2017 14:35,8,16.9,15.9,13.1,12.5,15.1,13.9,13.9,14.1,14.4
6,Patch,Morning Star,Fillet,10:16,,7-29-2017 14:36,8,11.4,14.3,3.4,13.2,13.8,15.9,10.3,12.4,11.8
7,Patch,Morning Star,Fillet,10:16,,7-29-2017 14:36,8,9.5,11.2,13.1,16.4,14.3,8.4,12.9,13.3,12.4
8,Patch,Morning Star,Fillet,10:16,,7-29-2017 14:37,8,13.7,21.6,12.4,13.1,11.4,14.6,14.4,14.8,14.5
9,Patch,Morning Star,Fillet,10:16,,7-29-2017 14:38,8,7.9,12.5,11.4,11.9,11.5,8.9,15.5,12.3,11.5
10,Patch,Morning Star,Fillet,10:16,,7-29-2017 14:38,8,7.4,9.1,15.2,7.6,11.1,15.1,9,10,10.6
11,Patch,Tasha Marie,Fillet,10:16,,7-29-2017 15:21,8,10.4,11.9,11.8,16.1,13.4,14.5,14.8,9.6,12.8
12,Patch,Tasha Marie,Fillet,10:16,,7-29-2017 15:21,8,13,15.7,13.7,13.1,4,2.8,13.7,9.9,10.7
13,Patch,Tasha Marie,Fillet,10:16,,7-29-2017 15:22,8,11,1.9,16.2,2.2,10.4,9.4,12,12.2,9.4
14,Patch,Tasha Marie,Fillet,10:16,,7-29-2017 15:23,8,5.8,6.4,11.5,11.4,10.3,13.8,13.8,13.5,10.8
15,Patch,Tasha Marie,Fillet,10:16,,7-29-2017 15:24,8,14.1,14.7,13.4,11.4,15.4,14.3,16.1,16,14.4
16,Patch,Tasha Marie,Fillet,8:12,,7-29-2017 15:26,8,11.2,12.2,10.2,10.2,14.9,13,10.9,12.1,11.8
17,Patch,Tasha Marie,Fillet,8:12,,7-29-2017 15:27,8,14.5,12.5,8.7,10.9,12.2,13.1,13.1,15.2,12.5
18,Patch,Tasha Marie,Fillet,8:12,,7-29-2017 15:28,8,11.9,15.5,13.6,16.7,11.7,16,12.9,11.9,13.8
19,Patch,Tasha Marie,Fillet,8:12,,7-29-2017 15:28,8,11.9,11,11,14.4,14.9,11.1,10,14.9,12.4
20,Patch,Tasha Marie,Fillet,8:12,,7-29-2017 15:29,8,14.4,14.1,12.2,12.6,15.4,9.6,13.3,14.2,13.2
1,Scotts Bay,Leroy and Barry,Fillet,10:20,,7-30-2017 16:17,8,6.9,5.6,4.3,4.8,9,10.4,5.5,1.9,6.1
2,Scotts Bay,Leroy and Barry,Fillet,10:20,,7-30-2017 16:42,8,8.1,7.2,4.3,2.4,8.8,1.9,4.5,6,5.4
3,Scotts Bay,Leroy and Barry,Fillet,10:20,,7-30-2017 16:43,8,9.3,2.1,3.7,5.4,6.8,4.9,7.1,5.8,5.6
4,Scotts Bay,Leroy and Barry,Fillet,10:20,,7-30-2017 16:43,8,8.3,5.1,5.4,2.6,6.3,7.3,6.1,6.1,5.9
5,Scotts Bay,Leroy and Barry,Fillet,10:20,,7-30-2017 16:44,8,11.7,3.8,2.7,5.2,6.8,10.3,3.3,2.7,5.8
6,Scotts Bay,Leroy and Barry,Fillet,8:12,,7-30-2017 16:51,8,13.6,8.9,6.7,2.5,9.4,9.2,5.1,7.8,7.9
7,Scotts Bay,Leroy and Barry,Fillet,8:12,,7-30-2017 16:51,8,2.4,9,4.8,4.7,8.3,2.4,12.2,12.1,7
8,Scotts Bay,Leroy and Barry,Fillet,8:12,,7-30-2017 16:52,8,8.7,2.4,10.5,13,4.8,5.4,6.3,10.5,7.7
9,Scotts Bay,Leroy and Barry,Fillet,8:12,,7-30-2017 16:53,8,2.2,12.5,13.5,18.7,1.4,7.1,9.4,2.5,8.4
10,Scotts Bay,Leroy and Barry,Fillet,8:12,,7-30-2017 16:54,8,5.8,9,12.3,6.3,9.8,10.1,6,8.1,8.4
1,Scotts Bay,Leroy and Barry,Fillet,10:22,,7-31-2017 8:48,8,10.4,4.8,7.7,5.2,9.4,5.8,2.1,5.6,6.4
2,Scotts Bay,Leroy and Barry,Fillet,10:22,,7-31-2017 8:49,8,7.5,8.1,8.1,10.6,8.5,3.3,3.3,8.6,7.3
3,Scotts Bay,Leroy and Barry,Fillet,10:22,,7-31-2017 8:49,8,7.9,3.5,13.2,3.1,7.3,8.3,11.5,6.9,7.7
4,Scotts Bay,Leroy and Barry,Fillet,10:22,,7-31-2017 8:50,8,2.2,10.6,2.5,11.9,4.9,7.6,3.7,1.9,5.7
5,Scotts Bay,Leroy and Barry,Fillet,10:22,,7-31-2017 8:51,8,7.6,8.8,11.5,14.9,11.3,6.4,9.7,7.5,9.7
6,Scotts Bay,Leroy and Barry,Fillet,8:12,,7-31-2017 8:54,8,8.5,8.2,6.3,3.6,10.6,3.2,5.5,11.8,7.2
7,Scotts Bay,Leroy and Barry,Fillet,8:12,,7-31-2017 8:56,8,9,4,2.9,6.6,6.6,7.6,13.9,7.6,7.3
8,Scotts Bay,Leroy and Barry,Fillet,8:12,,7-31-2017 8:57,8,6.4,7.8,2.4,4.1,5.2,10,13.7,6.7,7
9,Scotts Bay,Leroy and Barry,Fillet,8:12,,7-31-2017 8:58,8,8.1,13.1,2.6,5.6,10.1,15.3,4.9,5.5,8.2
10,Scotts Bay,Leroy and Barry,Fillet,8:12,,7-31-2017 8:58,8,8.6,2.8,6.8,11.1,8.5,9,6.6,8.4,7.7
1,Patch,Morning Star,Fillet,10:16,,08-02-2017 17:06,8,16.8,13.3,8.4,14.1,4.6,8.7,11.4,12.4,11.2
2,Patch,Morning Star,Fillet,10:16,,08-02-2017 17:07,8,13.9,13.2,11.3,6.6,13.3,13.8,13.7,11,12.1
3,Patch,Morning Star,Fillet,10:16,,08-02-2017 17:08,8,14.1,9.9,9.1,11.7,14.1,12.8,15.9,11.8,12.4
4,Patch,Morning Star,Fillet,10:16,,08-02-2017 17:09,8,11.5,12.4,24.3,14.1,17.4,10.9,15,12.2,14.7
5,Patch,Morning Star,Fillet,10:16,,08-02-2017 17:10,8,7,10.7,10.6,11.1,9.6,9.7,15.1,14.3,11
6,Patch,Tasha Marie,Fillet,8:12,,08-02-2017 18:03,8,12.3,10.4,12.9,11.8,16.2,16.8,12.9,13.9,13.4
7,Patch,Tasha Marie,Fillet,8:12,,08-02-2017 18:04,8,11.5,15.1,17.4,13.6,16,15,18.2,12.3,14.9
8,Patch,Tasha Marie,Fillet,8:12,,08-02-2017 18:05,8,14.2,14.1,10.2,20.1,17,15.9,18,12.6,15.3
9,Patch,Tasha Marie,Fillet,8:12,,08-02-2017 18:05,8,12.7,13.7,13.8,11.1,8.1,9,10,14.4,11.6
10,Patch,Tasha Marie,Fillet,8:12,,08-02-2017 18:06,8,11,18.6,15.5,13.9,11.7,14.1,13.8,9.8,13.6
1,Patch,Morning Star,Fillet,10:16,,08-02-2017 17:19,8,13.3,13.5,5.8,7.8,15.7,15.5,16.6,10.9,12.4
2,Patch,Morning Star,Fillet,10:16,,08-02-2017 17:20,8,14.9,13.5,16.3,12,13,14.4,18.2,13.8,14.5
3,Patch,Morning Star,Fillet,10:16,,08-02-2017 17:21,8,11.6,9.8,12.4,16.9,10.8,10.7,11.7,10.5,11.8
4,Patch,Morning Star,Fillet,10:16,,08-02-2017 17:22,8,12.1,17.1,12.9,12.6,19.3,12.6,15.7,12.3,14.3
5,Patch,Morning Star,Fillet,10:16,,08-02-2017 17:23,8,7.7,7.3,4.3,11.9,11.9,5.8,9.2,11,8.6
6,Patch,Tasha Marie,Fillet,8:12,,08-02-2017 18:06,8,17.1,17.7,4.4,15.7,10,15.9,14.2,13.5,13.6
7,Patch,Tasha Marie,Fillet,8:12,,08-02-2017 18:07,8,17.4,11.2,22.5,10.5,19.4,17.1,17.2,10.3,15.7
8,Patch,Tasha Marie,Fillet,8:12,,08-02-2017 18:08,8,15.3,12.6,11.4,8.7,9.8,13.8,23,9.8,13.1
9,Patch,Tasha Marie,Fillet,8:12,,08-02-2017 18:09,8,19,13.9,17.9,13.5,9.5,8.5,11,10.1,12.9
10,Patch,Tasha Marie,Fillet,8:12,,08-02-2017 18:10,8,22.4,16.1,15.1,18,13.1,12.6,12.9,16.7,15.9
1,Patch,Morning Star,Fillet,10:16,,08-03-2017 15:45,8,8.8,20.6,11.6,10,19.2,20.5,10.5,11.8,14.1
2,Patch,Morning Star,Fillet,10:16,,08-03-2017 15:46,8,19.6,13.1,15.9,16.4,11.7,13,13.1,10.7,14.2
3,Patch,Morning Star,Fillet,10:16,,08-03-2017 15:47,8,15.2,12.1,13.6,3.1,23.5,15.9,4.1,11.2,12.3
4,Patch,Morning Star,Fillet,10:16,,08-03-2017 15:48,8,18.5,17.9,17.3,14,16.4,5.2,13.9,17.7,15.1
5,Patch,Morning Star,Fillet,10:16,,08-03-2017 15:49,8,16.2,20.5,11.9,24.6,18,13.5,16.2,14.6,16.9
6,Patch,Morning Star,Fillet,7:11,,08-03-2017 15:51,8,16.4,12,14.3,31.1,11.3,13.9,19.4,11.5,16.2
7,Patch,Morning Star,Fillet,7:11,,08-03-2017 15:52,8,14.8,13.5,14.1,14.6,19.6,9.9,11.3,15.4,14.2
8,Patch,Morning Star,Fillet,7:11,,08-03-2017 15:53,8,11.6,13,11.3,20.5,10.4,22.5,13.8,11.2,14.3
9,Patch,Morning Star,Fillet,7:11,,08-03-2017 15:54,8,18.7,15.6,16,16.5,14.6,15,17.6,13.5,15.9
10,Patch,Morning Star,Fillet,7:11,,08-03-2017 15:55,8,16.9,27.7,15.1,11.6,21.5,13.3,6.1,5.2,14.7
1,Patch,Morning Star,Fillet,10:16,,08-04-2017 16:04,8,12.2,13.5,21.9,14.4,13.7,13.8,11.5,15.1,14.5
2,Patch,Morning Star,Fillet,10:16,,08-04-2017 16:05,8,4.2,15.6,23.5,15.1,22.2,12.1,17.1,13.4,15.4
3,Patch,Morning Star,Fillet,10:16,,08-04-2017 16:12,8,14.9,18,13.2,13.8,17.7,15.3,14.8,14.8,15.3
4,Patch,Morning Star,Fillet,10:16,,08-04-2017 16:13,8,18.7,15,14.5,23.5,12.2,14.5,16.5,20.8,17
5,Patch,Morning Star,Fillet,10:16,,08-04-2017 16:14,8,15.1,12,15.8,10.2,13.8,18.3,11.9,16.2,14.2
6,Patch,Morning Star,Fillet,7:11,,08-04-2017 16:17,8,17.3,19.4,16.2,21.2,23.9,15.8,17,13,18
7,Patch,Morning Star,Fillet,7:11,,08-04-2017 16:18,8,17.7,15.4,21.6,18.2,14.7,14.1,25.1,17.5,18
8,Patch,Morning Star,Fillet,7:11,,08-04-2017 16:20,8,22.5,16.8,12.2,16.5,19.3,15.7,20.5,23,18.3
9,Patch,Morning Star,Fillet,7:11,,08-04-2017 16:20,8,14,8.7,20.6,19.3,17.1,13.7,15.4,27.6,17.1
10,Patch,Morning Star,Fillet,7:11,,08-04-2017 16:21,8,16.1,25.7,14.4,21.2,21.6,17.1,17.6,10.6,18
1,Lurcher,Leroy and Barry,Bait,,21-23,08-08-2017 7:28,8,2.2,8.6,5,2.2,2.5,3.4,1.6,6.5,4
2,Lurcher,Leroy and Barry,Bait,,21-23,08-08-2017 7:29,8,2.7,2.8,2.1,2.7,3.4,2.8,2.4,3,2.7
3,Lurcher,Leroy and Barry,Bait,,21-23,08-08-2017 7:30,8,2.6,6.9,4.2,5.2,4.2,4.7,2.3,2.5,4.1
4,Lurcher,Leroy and Barry,Bait,,21-23,08-08-2017 7:31,8,2.5,2.4,4.7,9.1,3.4,3.3,2.2,4.1,4
5,Lurcher,Leroy and Barry,Bait,,21-23,08-08-2017 7:32,8,1.9,3.4,4.3,3.1,2.3,2.6,2.9,7.1,3.5
1,Lurcher,Leroy and Barry,Bait,,21-23,08-09-2017 8:03,8,3.3,2.4,3.1,2.4,1.8,4,8.6,3.8,3.7
2,Lurcher,Leroy and Barry,Bait,,21-23,08-09-2017 8:04,8,2.4,3.4,4.6,1.9,2,2.9,2.9,10.4,3.8
3,Lurcher,Leroy and Barry,Bait,,21-23,08-09-2017 8:05,8,5.1,3.3,6.5,3.3,3.1,8.4,1.9,3.3,4.4
4,Lurcher,Leroy and Barry,Bait,,21-23,08-09-2017 8:06,8,3.8,2.6,1.1,2.8,2.2,4.2,2.6,3.9,2.9
5,Lurcher,Leroy and Barry,Bait,,21-23,08-09-2017 8:07,8,5.1,4.4,2.5,5.5,1.5,2.8,2.1,4.9,3.6
1,Lurcher,Leroy and Barry,Bait,,15.5-20.5,08-10-2017 8:05,8,4.4,1.9,5,4.9,3.4,4.1,2.3,3,3.6
2,Lurcher,Leroy and Barry,Bait,,15.5-20.5,08-10-2017 8:08,8,1.2,2.6,2.9,15.4,2.8,4.3,3.9,7.3,5.1
3,Lurcher,Leroy and Barry,Bait,,15.5-20.5,08-10-2017 8:09,8,3.9,4.1,2.4,3.1,2.8,4.1,31.6,3.7,7
4,Lurcher,Leroy and Barry,Bait,,15.5-20.5,08-10-2017 8:10,8,4.5,4.8,7.9,5,2.9,1.5,1.7,6.8,4.4
5,Lurcher,Leroy and Barry,Bait,,15.5-20.5,08-10-2017 8:11,8,18,2.8,1.2,6.4,5.7,1.9,3.6,3.4,5.4
1,Lurcher,Leroy and Barry,Bait,,15.5-20.5,08-11-2017 8:09,8,5.2,4.8,3.5,5.3,1.6,2.8,4,2.3,3.7
2,Lurcher,Leroy and Barry,Bait,,15.5-20.5,08-11-2017 8:10,8,5.6,6.1,3.3,2.9,9.3,3.8,12.6,7.2,6.4
3,Lurcher,Leroy and Barry,Bait,,15.5-20.5,08-11-2017 8:11,8,11.7,3.4,4.1,4.6,5.6,6.9,4.8,6.2,5.9
4,Lurcher,Leroy and Barry,Bait,,15.5-20.5,08-11-2017 8:11,8,3,5.7,2.6,2.7,4.3,5.4,2.6,6.2,4.1
5,Lurcher,Leroy and Barry,Bait,,15.5-20.5,08-11-2017 8:12,8,10,3.8,8.7,2.2,3.8,7.5,12.4,6.6,6.9
1,Patch,Morning Star,Fillet,10:16,,08-12-2017 15:00,8,13.4,24.2,19.4,8.6,8.2,13.9,16.5,15.8,15
2,Patch,Morning Star,Fillet,10:16,,08-12-2017 15:01,8,17.4,14,14.4,12.2,18.4,17.5,17.4,13.7,15.6
3,Patch,Morning Star,Fillet,10:16,,08-12-2017 15:01,8,19.8,10.6,13.7,16.3,16.7,19.3,2.5,14.3,14.2
4,Patch,Morning Star,Fillet,10:16,,08-12-2017 15:02,8,24.1,17.4,2.7,14.3,15.1,15.1,9.2,14.5,14.1
5,Patch,Morning Star,Fillet,10:16,,08-12-2017 15:03,8,20.2,18.5,15.6,17.8,12.7,13.6,13.7,27.7,17.5
6,Patch,Morning Star,Fillet,7:11,,08-12-2017 15:07,8,15.7,12,10.6,14.3,18,19.6,16.9,10.7,14.7
7,Patch,Morning Star,Fillet,7:11,,08-12-2017 15:08,8,14.3,24.1,15.9,16.2,21.9,12.7,13.5,15.5,16.8
8,Patch,Morning Star,Fillet,7:11,,08-12-2017 15:09,8,12.7,13.6,14.1,16,17,17.1,15.1,19.7,15.7
9,Patch,Morning Star,Fillet,7:11,,08-12-2017 15:09,8,20.4,14.7,22.4,12,21.2,16.7,15.9,19,17.8
10,Patch,Morning Star,Fillet,7:11,,08-12-2017 15:11,8,21.3,12,16.1,13.2,20,24.3,17.3,11.7,17
11,Patch,Tasha Marie,Fillet,10:16,,08-12-2017 19:33,8,12.6,11.2,12.9,10.4,12,12.6,12,15.6,12.4
12,Patch,Tasha Marie,Fillet,10:16,,08-12-2017 19:34,8,15.4,9.8,15.8,11,13.8,15.9,19,14.1,14.4
13,Patch,Tasha Marie,Fillet,10:16,,08-12-2017 19:34,8,12.7,18.9,14.5,19.8,11.6,12.6,14.4,16,15.1
14,Patch,Tasha Marie,Fillet,10:16,,08-12-2017 19:35,8,11.9,24.5,11.9,9.4,13.9,16.3,15.1,16.2,14.9
15,Patch,Tasha Marie,Fillet,10:16,,08-12-2017 19:36,8,28.7,13.2,16.9,14.1,15.1,24.4,16.5,18.2,18.4
16,Patch,Tasha Marie,Fillet,7:11,,08-12-2017 20:01,8,13.6,13.2,14.2,19.3,12.2,20.4,15.6,18.1,15.8
17,Patch,Tasha Marie,Fillet,7:11,,08-12-2017 20:03,8,17.4,13.4,16.2,10.6,14.2,20,20,14.9,15.8
18,Patch,Tasha Marie,Fillet,7:11,,08-12-2017 20:03,8,11.5,21.1,21.1,16.3,17.8,17.7,14.1,17.1,17.1
19,Patch,Tasha Marie,Fillet,7:11,,08-12-2017 20:04,8,22.7,13.2,16.9,11.8,18.1,19.4,18.9,17.4,17.3
20,Patch,Tasha Marie,Fillet,7:11,,08-12-2017 20:04,8,12.9,12.3,14.7,12.4,14.4,8.1,8.5,6.9,11.3
1,Scotts Bay,Leroy and Barry,Fillet,10:22,,8-13-2017 14:59,8,3.7,12.9,4.9,2.3,9,4,15.9,7.8,7.6
2,Scotts Bay,Leroy and Barry,Fillet,10:22,,8-13-2017 15:00,8,5.4,3.5,9.2,1.8,3.1,3.4,2.8,8,4.7
3,Scotts Bay,Leroy and Barry,Fillet,10:22,,8-13-2017 15:00,8,1.5,3.8,2.3,1.7,4.7,1.4,2.5,11.9,3.7
4,Scotts Bay,Leroy and Barry,Fillet,10:22,,8-13-2017 15:01,8,9.6,3.9,11.2,5.7,2,11.9,13,4.2,7.7
5,Scotts Bay,Leroy and Barry,Fillet,10:22,,8-13-2017 15:03,8,1.3,6.9,9.8,7.6,5.2,2.3,2.9,7.6,5.5
6,Scotts Bay,Leroy and Barry,Fillet,10:20,,8-13-2017 15:32,8,2.8,5.2,2.4,3.8,3,1.7,4,1.8,3.1
7,Scotts Bay,Leroy and Barry,Fillet,10:20,,8-13-2017 15:33,8,4.9,15.3,2.8,8.1,2.1,3.5,1.9,14,6.6
8,Scotts Bay,Leroy and Barry,Fillet,10:20,,8-13-2017 15:33,8,16.4,3.5,5,2.8,15.6,2.1,4.2,5.1,6.8
9,Scotts Bay,Leroy and Barry,Fillet,10:20,,8-13-2017 15:34,8,8,6.9,11.9,8.9,4.9,9.3,8.6,5.9,8.1
10,Scotts Bay,Leroy and Barry,Fillet,10:20,,8-13-2017 15:36,8,7.9,2.1,5.2,1.6,7.8,5.4,1.6,4.2,4.5
1,Scotts Bay,Leroy and Barry,Fillet,10:22,,8-14-2017 12:26,8,1,9.5,4.3,6.3,2.6,6,5.1,6.6,5.2
2,Scotts Bay,Leroy and Barry,Fillet,10:22,,8-14-2017 12:27,8,4.3,2.1,3.4,1.8,2.7,4,8.2,4.2,3.8
