Sequence,Location,Vessel,Type,No. Filets per kg,Size (cm),Recorded,Count,#1,#2,#3,#4,#5,#6,#7,#8,Average
18,NW Shoal,Morning Star,Fillet,7:11,,6-14-2017 14:56,8,11.2,10.5,10,14.1,10.3,11.5,12.5,12.3,11.6
19,NW Shoal,Morning Star,Fillet,7:11,,6-14-2017 14:57,8,15.9,5.2,16.2,9.4,8.9,10.6,14,8.7,11.1
20,NW Shoal,Morning Star,Fillet,7:11,,6-14-2017 14:58,8,15.9,8.7,12.9,12.3,8.5,12.7,8.9,11.4,11.4
1,The Patch,Morning Star,Fillet,10:14,,6-15-2017 8:28,8,10.1,10.1,9.2,12.7,6.1,9.3,3.4,4.7,8.2
2,The Patch,Morning Star,Fillet,10:14,,6-15-2017 8:30,8,11.6,5.6,11.7,8.9,2.9,18.6,4.2,10.4,9.2
3,The Patch,Morning Star,Fillet,10:14,,6-15-2017 8:31,8,3.8,5.9,2.2,13.2,5,9.8,9.1,15.1,8
4,The Patch,Morning Star,Fillet,10:14,,6-15-2017 8:32,8,23,10,8.9,16.6,9.3,17.2,8,2.7,12
5,The Patch,Morning Star,Fillet,10:14,,6-15-2017 8:33,8,13.1,2.1,6.1,16.2,5.5,14.6,11.6,4.2,9.2
6,The Patch,Morning Star,Fillet,7:11,,6-15-2017 12:46,8,0,15.2,16.5,16.3,17.4,14.7,12.4,7,12.4
7,The Patch,Morning Star,Fillet,7:11,,6-15-2017 12:47,8,6.1,5.9,10.1,11.5,18.7,18,8.7,2.6,10.2
8,The Patch,Morning Star,Fillet,7:11,,6-15-2017 12:48,8,17.4,12.4,8.7,11.4,15.3,17.6,10.6,6.2,12.5
9,The Patch,Morning Star,Fillet,7:11,,6-15-2017 12:49,8,11.6,11.9,9.8,6.3,7.4,6.9,11.9,3.6,8.7
10,The Patch,Morning Star,Fillet,7:11,,6-15-2017 12:50,8,11.9,13.8,19.3,16.4,13.3,13.9,18,19.1,15.7
1,Scots Bay,Leroy,Fillet,10:20,,6-22-2017 19:25,8,4.4,6.1,1.4,1.5,2.9,4.9,2.1,1,3
2,Scots Bay,Leroy,Fillet,10:20,,6-22-2017 19:26,8,5.5,2.6,4.3,2,4.6,6.2,9.7,12.6,5.9
3,Scots Bay,Leroy,Fillet,10:20,,6-22-2017 19:27,8,1.9,2.1,0.7,1,6.4,0.5,2.2,2.3,2.1
4,Scots Bay,Leroy,Fillet,10:20,,6-22-2017 19:29,8,3,11.3,2.7,11.9,4.7,2,1.5,1.9,4.9
5,Scots Bay,Leroy,Fillet,10:20,,6-22-2017 19:30,8,9.2,2.5,4.8,2.1,5.2,2.4,1.9,0.8,3.6
6,Scots Bay,Leroy,Fillet,8:10,,6-22-2017 21:53,8,10.9,6.3,7.6,6.4,5.9,2.9,3.1,4.1,5.9
7,Scots Bay,Leroy,Fillet,8:10,,6-22-2017 21:54,8,12.8,9.6,8.1,5.1,10.1,4.9,8.6,10.2,8.7
8,Scots Bay,Leroy,Fillet,8:10,,6-22-2017 21:54,8,8.3,11.8,10.1,8.3,7.2,2.6,4.4,4.1,7.1
9,Scots Bay,Leroy,Fillet,8:10,,6-22-2017 21:55,8,9.8,9.7,1.6,7.2,5.7,10.3,6.6,2.4,6.7
10,Scots Bay,Leroy,Fillet,8:10,,6-22-2017 21:56,8,24.4,8.2,9.3,8.5,5.6,4.1,4.3,2.4,8.4
1,Patch,Morning Star,Fillet,10:16,,6-23-2017 15:52,8,16.4,0,0,11.2,8.3,9.5,12.1,12.6,8.8
2,Patch,Morning Star,Fillet,10:16,,6-23-2017 15:54,8,16.3,11,9.9,12.1,12.9,7.7,13.1,10,11.6
3,Patch,Morning Star,Fillet,10:16,,6-23-2017 15:54,8,9.8,12.8,10.4,11,11.3,31.9,5.9,11.6,13.1
4,Patch,Morning Star,Fillet,10:16,,6-23-2017 15:55,8,9.3,2.7,9,14.7,13.8,15.1,15.6,15.3,11.9
5,Patch,Morning Star,Fillet,10:16,,6-23-2017 15:56,8,10,17.7,18.2,19,11.5,15.3,4.7,13.3,13.7
6,Patch,Morning Star,Fillet,8:12,,6-23-2017 16:04,8,12.9,15.3,18,8,13.3,13.9,10.8,19.3,13.9
7,Patch,Morning Star,Fillet,8:12,,6-23-2017 16:05,8,12.1,10.7,11.6,11.7,13.1,12.6,17.4,16.7,13.2
8,Patch,Morning Star,Fillet,8:12,,6-23-2017 16:06,8,16.4,11.3,16.8,12.5,13.2,7.4,12.3,12.9,12.9
9,Patch,Morning Star,Fillet,8:12,,6-23-2017 16:06,8,9.6,17.2,17.2,8.3,9.3,10.5,12.5,12.1,12.1
10,Patch,Morning Star,Fillet,8:12,,6-23-2017 16:07,8,14.4,18.5,15.1,6,13.8,13.8,14.1,10.8,13.3
1,Patch,Tasha Marie,Fillet,10:16,,6-23-2017 12:19,8,0,6,16.6,12.1,10.7,11.2,16.5,11.2,10.5
2,Patch,Tasha Marie,Fillet,10:16,,6-23-2017 12:19,8,18.8,5.4,11.3,10.1,14.8,11,14.9,17.2,12.9
3,Patch,Tasha Marie,Fillet,10:16,,6-23-2017 12:20,8,9.9,8,15.2,12.1,2.2,12.8,12.3,5.4,9.7
4,Patch,Tasha Marie,Fillet,10:16,,6-23-2017 12:21,8,12.9,12.4,10.9,12.2,10.8,18.1,8.8,6.5,11.6
5,Patch,Tasha Marie,Fillet,10:16,,6-23-2017 12:22,8,9.6,10.6,9.9,14.5,7.6,17.1,18,12.9,12.5
1,Scots Bay,Leroy,Fillet,10:20,,6-24-2017 8:19,8,1.8,2.9,2.4,5.9,4.9,0.9,16.2,4.4,4.9
2,Scots Bay,Leroy,Fillet,10:20,,6-24-2017 8:21,8,5.3,1.4,3.4,3.3,1.2,12.9,8.3,1.8,4.7
