Tag_Num,Date,Julian,Ground,Lat,Lon,returnedDate,returnedJulian,returnedArea,returnedLat,returnedLon,Catch.t,daysAtLarge,dataorigin,Comments
567226,2023-08-29,241,Scots Bay,45.20138889,-64.88638889,2024-08-22,235,Scots Bay,44.06666667,-65.06666667,115,359,2024 Tag Returns.csv,
567029,2023-08-29,241,Scots Bay,45.20138889,-64.88638889,2024-09-24,268,Scots Bay,45.165,-64.9785,91,392,2024 Tag Returns.csv,
564204,2023-08-28,240,Scots Bay,45.14111111,-65.05194444,2024-06-25,177,White Head,45.13333333,-65.11666667,69,302,2024 Tag Returns.csv,
578578,2023-09-04,247,German Bank,43.25305556,-66.36638889,2023-09-25,268,Scots Bay,45.15,-64.83333333,132,21,2024 Tag Returns.csv,Used C1 as Connors vessel that had the biggest catch.
567565,2023-09-03,246,German Bank,43.27138889,-66.37361111,2023-09-25,268,Scots Bay,45.15,-64.83333333,132,22,2024 Tag Returns.csv,Used C1 as Connors vessel that had the biggest catch.
529179,2023-10-01,274,Grand Manan,44.63277778,-66.63972222,2024-06-26,178,Grand Manan,44.58333333,-66.59666667,60,269,2024 Tag Returns.csv,
577781,2023-09-06,249,Scots Bay,45.15833333,-65.01138889,2024-09-26,270,Scots Bay,45.13333333,-65.11666667,70,386,2024 Tag Returns.csv,
603551,2022-09-12,255,German Bank,43.23446667,-66.34903333,2023-08-28,240,Scots Bay,45.13333333,-65.05,107,350,2024 Tag Returns.csv,Used FM as Connors vessel that had the biggest catch.
532013,2023-09-04,247,German Bank,43.25,-66.35,2023-09-28,271,Scots Bay,45.13333333,-65.05,107,24,2024 Tag Returns.csv,Used FM as Connors vessel that had the biggest catch.
471466,2023-08-28,240,Scots Bay,45.1925,-64.8775,2023-08-29,241,German Bank,43.2375,-66.321,50,1,2024 Tag Returns.csv,
564145,2023-08-28,240,Scots Bay,45.14111111,-65.05194444,2023-08-29,241,German Bank,43.2375,-66.321,50,1,2024 Tag Returns.csv,
474896,2023-10-04,277,Long Island,44.30111111,-66.33555556,2024-07-30,212,Scots Bay,46,-64.96666667,56,300,2024 Tag Returns.csv,
603928,2022-09-13,256,German Bank,43.29043333,-66.4312,2023-08-30,242,German Bank,43.264,-66.34566667,32,351,2024 Tag Returns.csv,Used C1 as Connors only vessel out that day.
563703,2023-08-14,226,Long Island,44.34916667,-66.35805556,2023-08-30,242,German Bank,43.264,-66.34566667,32,16,2024 Tag Returns.csv,Used C1 as Connors only vessel out that day.
564573,2023-08-29,241,Scots Bay,45.19805556,-64.85777778,2023-08-30,242,German Bank,43.264,-66.34566667,32,1,2024 Tag Returns.csv,Used C1 as Connors only vessel out that day.
564038,2023-08-28,240,Scots Bay,45.14111111,-65.05194444,2023-08-30,242,German Bank,43.264,-66.34566667,32,2,2024 Tag Returns.csv,Used C1 as Connors only vessel out that day.
564593,2023-08-29,241,Scots Bay,45.19805556,-64.85777778,2023-08-30,242,German Bank,43.264,-66.34566667,32,1,2024 Tag Returns.csv,Used C1 as Connors only vessel out that day.
564713,2023-08-28,240,Scots Bay,45.18027778,-64.95611111,2023-08-30,242,German Bank,43.23733333,-66.321,50,2,2024 Tag Returns.csv,
564637,2023-08-29,241,Scots Bay,45.19805556,-64.85777778,2023-08-30,242,German Bank,43.23733333,-66.321,50,1,2024 Tag Returns.csv,
564334,2023-08-29,241,Scots Bay,45.19805556,-64.85777778,2023-08-30,242,German Bank,43.23733333,-66.321,50,1,2024 Tag Returns.csv,
564312,2023-08-29,241,Scots Bay,45.19805556,-64.85777778,2023-08-30,242,German Bank,43.23733333,-66.321,50,1,2024 Tag Returns.csv,
564783,2023-08-28,240,Scots Bay,45.18027778,-64.95611111,2023-08-30,242,German Bank,43.23733333,-66.321,50,2,2024 Tag Returns.csv,
564604,2023-08-29,241,Scots Bay,45.19805556,-64.85777778,2023-08-30,242,German Bank,43.23733333,-66.321,50,1,2024 Tag Returns.csv,
564864,2023-08-28,240,Scots Bay,45.18027778,-64.95611111,2023-08-30,242,German Bank,43.23733333,-66.321,50,2,2024 Tag Returns.csv,
564417,2023-08-29,241,Scots Bay,45.19805556,-64.85777778,2023-08-30,242,German Bank,43.23733333,-66.321,50,1,2024 Tag Returns.csv,
564764,2023-08-28,240,Scots Bay,45.18027778,-64.95611111,2023-08-30,242,German Bank,43.23733333,-66.321,50,2,2024 Tag Returns.csv,
564554,2023-08-29,241,Scots Bay,45.19805556,-64.85777778,2023-08-30,242,German Bank,43.23733333,-66.321,50,1,2024 Tag Returns.csv,
564761,2023-08-28,240,Scots Bay,45.18027778,-64.95611111,2023-08-30,242,German Bank,43.23733333,-66.321,50,2,2024 Tag Returns.csv,
564463,2023-08-29,241,Scots Bay,45.19805556,-64.85777778,2023-08-30,242,German Bank,43.23733333,-66.321,50,1,2024 Tag Returns.csv,
473112,2022-09-07,250,Scots Bay,45.19678333,-64.88591667,2023-08-30,242,Long Island,44.31666667,-66.41166667,12,357,2024 Tag Returns.csv,
471616,2023-08-28,240,Scots Bay,45.1925,-64.8775,2023-08-30,242,Long Island,44.31666667,-66.41166667,12,2,2024 Tag Returns.csv,
564411,2023-08-29,241,Scots Bay,45.19805556,-64.85777778,2023-08-30,242,Long Island,44.31666667,-66.41166667,12,1,2024 Tag Returns.csv,
564358,2023-08-29,241,Scots Bay,45.19805556,-64.85777778,2023-08-30,242,Long Island,44.31666667,-66.41166667,12,1,2024 Tag Returns.csv,
471558,2023-08-28,240,Scots Bay,45.1925,-64.8775,2023-08-30,242,Long Island,44.31666667,-66.41166667,12,2,2024 Tag Returns.csv,
