Tag_Num,Date,Julian,Ground,Lat,Lon,returnedDate,returnedJulian,returnedArea,returnedLat,returnedLon,Catch.t,daysAtLarge,dataorigin,Comments
578962,2023-09-07,250,Scots Bay,45.11333333,-65.09944444,2023-09-12,255,Scots Bay,45.5,-66,94,5,NA,NA
578964,2023-09-07,250,Scots Bay,45.11333333,-65.09944444,2023-09-12,255,Scots Bay,45.5,-66,11,5,NA,NA
578970,2023-09-07,250,Scots Bay,45.11333333,-65.09944444,2023-09-12,255,Scots Bay,45.5,-66,94,5,NA,NA
578996,2023-09-07,250,Scots Bay,45.11333333,-65.09944444,2023-09-12,255,Scots Bay,45.5,-66,165,5,NA,NA
580083,2021-06-14,165,Gannet Dry Ledge,43.62055,-66.97898333,2021-07-19,200,Scots Bay,45.5,-66,57,35,NA,NA
580326,2021-06-16,167,Gannet Dry Ledge,43.58883333,-66.78583333,2021-06-18,169,Gannet Dry Ledge,43.833,-66.333,115,2,NA,NA
580683,2021-06-17,168,Gannet Dry Ledge,43.5883,-66.78375,2021-06-19,170,Gannet Dry Ledge,43.833,-66.333,115,2,NA,NA
580818,2021-06-17,168,Gannet Dry Ledge,43.5883,-66.78375,2021-09-08,251,German Bank,43.5,-66.167,104,83,NA,NA
580835,2021-06-17,168,Gannet Dry Ledge,43.5883,-66.78375,2021-09-15,258,German Bank,43.5,-66.167,97,90,NA,NA
581226,2021-06-06,157,Scots Bay,45.280556,-64.924722,2021-06-10,161,Scots Bay,45.5,-66,67,4,NA,NA
581777,2021-06-13,164,Gannet Dry Ledge,43.630833,-66.996111,2021-06-24,175,German Bank,43.5,-66.167,90,11,NA,NA
581796,2021-06-13,164,Gannet Dry Ledge,43.630833,-66.996111,2021-09-08,251,German Bank,43.5,-66.167,104,87,NA,NA
581803,2021-06-13,164,Gannet Dry Ledge,43.630833,-66.996111,2021-09-14,257,Scots Bay,45.5,-66,130,93,NA,NA
584951,2021-07-06,187,Grand Manan Banks,44.26341667,-66.99936667,2021-10-24,297,Grand Manan Banks,44.5,-66.667,137,110,NA,NA
585683,2022-06-13,164,Grand Manan Banks,44.28618333,-67.00335,2022-07-12,193,Scots Bay,45.5,-66,150,29,NA,NA
585852,2022-08-07,219,Scots Bay,45.146,-65.0465,2022-08-09,221,Scots Bay,45.5,-66,116,2,NA,NA
585855,2022-08-07,219,Scots Bay,45.146,-65.0465,2022-08-09,221,Scots Bay,45.5,-66,NA,2,NA,NA
585856,2022-08-07,219,Scots Bay,45.146,-65.0465,2022-08-09,221,Scots Bay,45.5,-66,116,2,NA,NA
585858,2022-08-07,219,Scots Bay,45.146,-65.0465,2022-08-09,221,Scots Bay,45.5,-66,116,2,NA,NA
585860,2022-08-07,219,Scots Bay,45.146,-65.0465,2022-08-09,221,Scots Bay,45.5,-66,116,2,NA,NA
585864,2022-08-07,219,Scots Bay,45.146,-65.0465,2022-08-09,221,Scots Bay,45.5,-66,116,2,NA,NA
585876,2022-08-07,219,Scots Bay,45.146,-65.0465,2022-08-09,221,Scots Bay,45.5,-66,116,2,NA,NA
585883,2022-08-07,219,Scots Bay,45.146,-65.0465,2022-08-10,222,Scots Bay,45.5,-66,49.5,3,NA,NA
585885,2022-08-07,219,Scots Bay,45.146,-65.0465,2022-08-09,221,Scots Bay,45.5,-66,116,2,NA,NA
585894,2022-08-07,219,Scots Bay,45.146,-65.0465,2022-08-09,221,Scots Bay,45.5,-66,116,2,NA,NA
585900,2022-08-07,219,Scots Bay,45.146,-65.0465,2022-08-09,221,Scots Bay,45.5,-66,116,2,NA,NA
585910,2022-08-07,219,Scots Bay,45.146,-65.0465,2022-08-09,221,Scots Bay,45.5,-66,116,2,NA,NA
585912,2022-08-07,219,Scots Bay,45.146,-65.0465,2022-08-09,221,Scots Bay,45.5,-66,116,2,NA,NA
585919,2022-08-07,219,Scots Bay,45.146,-65.0465,2022-08-10,222,Scots Bay,45.5,-66,98,3,NA,NA
585920,2022-08-07,219,Scots Bay,45.146,-65.0465,2022-08-09,221,Scots Bay,45.5,-66,116,2,NA,NA
585938,2022-08-07,219,Scots Bay,45.146,-65.0465,2022-08-09,221,Scots Bay,45.5,-66,116,2,NA,NA
585942,2022-08-07,219,Scots Bay,45.146,-65.0465,2022-08-09,221,Scots Bay,45.5,-66,116,2,NA,NA
585945,2022-08-07,219,Scots Bay,45.146,-65.0465,2022-08-09,221,Scots Bay,45.5,-66,116,2,NA,NA
585964,2022-08-07,219,Scots Bay,45.146,-65.0465,2022-08-09,221,Scots Bay,45.5,-66,116,2,NA,NA
585967,2022-08-07,219,Scots Bay,45.146,-65.0465,2022-08-09,221,Scots Bay,45.5,-66,116,2,NA,NA
585970,2022-08-07,219,Scots Bay,45.146,-65.0465,2022-08-09,221,Scots Bay,45.5,-66,116,2,NA,NA
586078,2022-09-01,244,German Bank,43.2689,-66.35883333,2022-09-02,245,German Bank,43.5,-66.167,107,1,NA,NA
587290,2021-08-30,242,Scots Bay,45.13481667,-65.04305,2021-09-01,244,Scots Bay,45.5,-66,27,2,NA,NA
587293,2021-08-30,242,Scots Bay,45.13481667,-65.04305,2021-08-31,243,Scots Bay,45.5,-66,70,1,NA,NA
587334,2021-08-30,242,Scots Bay,45.13481667,-65.04305,2021-09-01,244,Scots Bay,45.5,-66,80,2,NA,NA
587360,2021-08-30,242,Scots Bay,45.13481667,-65.04305,2021-09-01,244,Scots Bay,45.5,-66,80,2,NA,NA
587582,2021-08-30,242,Scots Bay,45.13751667,-65.02555,2021-09-01,244,Scots Bay,45.5,-66,27,2,NA,NA
587583,2021-08-30,242,Scots Bay,45.13751667,-65.02555,2021-09-01,244,Scots Bay,45.5,-66,80,2,NA,NA
587637,2021-08-30,242,Scots Bay,45.13816667,-65.03646667,2021-09-01,244,Scots Bay,45.5,-66,80,2,NA,NA
587730,2021-08-30,242,Scots Bay,45.13816667,-65.03646667,2021-09-01,244,Scots Bay,45.5,-66,80,2,NA,NA
587744,2021-08-30,242,Scots Bay,45.13816667,-65.03646667,2021-09-01,244,Scots Bay,45.5,-66,80,2,NA,NA
589705,2021-08-02,214,Scots Bay,45.1238,-65.06623333,2021-08-03,215,Scots Bay,45.5,-66,16,1,NA,NA
589736,2021-08-02,214,Scots Bay,45.1238,-65.06623333,2021-08-03,215,Scots Bay,45.5,-66,16,1,NA,NA
589826,2021-08-02,214,Scots Bay,45.1238,-65.06623333,2021-08-03,215,Scots Bay,45.5,-66,27,1,NA,NA
589836,2021-08-02,214,Scots Bay,45.1238,-65.06623333,2021-08-03,215,Scots Bay,45.5,-66,86,1,NA,NA
589875,2021-08-02,214,Scots Bay,45.1238,-65.06623333,2021-08-03,215,Scots Bay,45.5,-66,27,1,NA,NA
589877,2021-08-02,214,Scots Bay,45.1238,-65.06623333,2021-08-03,215,Scots Bay,45.5,-66,86,1,NA,NA
589884,2021-08-02,214,Scots Bay,45.1238,-65.06623333,2021-08-03,215,Scots Bay,45.5,-66,16,1,NA,NA
589935,2021-08-03,215,Scots Bay,45.15521667,-64.99706667,2021-08-04,216,Scots Bay,45.5,-66,28,1,NA,NA
589949,2021-08-03,215,Scots Bay,45.15521667,-64.99706667,2021-08-04,216,Scots Bay,45.5,-66,28,1,NA,NA
590156,2021-08-16,228,Scots Bay,45.15155,-65.01928333,2021-08-19,231,Scots Bay,45.5,-66,42,3,NA,NA
590170,2021-08-16,228,Scots Bay,45.15155,-65.01928333,2021-08-18,230,Scots Bay,45.5,-66,65,2,NA,NA
590321,2021-08-17,229,Scots Bay,45.13388333,-65.0691,2021-08-18,230,Scots Bay,45.5,-66,50,1,NA,NA
590330,2021-08-17,229,Scots Bay,45.13388333,-65.0691,2021-08-27,239,Scots Bay,45.5,-66,64,10,NA,NA
590350,2021-08-17,229,Scots Bay,45.13388333,-65.0691,2024-09-17,261,Scots Bay,45.5,-66,NA,1127,NA,NA
590663,2021-08-17,229,Scots Bay,45.149,-65.0011,2021-08-19,231,Scots Bay,45.5,-66,36,2,NA,NA
590964,2021-08-25,237,German Bank,43.2792,-66.40478333,2022-08-31,243,German Bank,43.5,-66.167,224,371,NA,NA
591121,2023-06-07,158,Scots Bay,45.28333333,-64.83333333,2023-06-08,159,Scots Bay,45.5,-66,45,1,NA,NA
593181,2023-06-20,171,Grand Manan Banks,44.2814,-66.96776667,2023-06-21,172,Grand Manan Banks,44.5,-66.667,10,1,NA,NA
593841,2023-06-22,173,Grand Manan Banks,44.29798333,-66.93935,2023-07-07,188,Grand Manan,44.833,-66.333,125,15,NA,NA
594007,2022-08-24,236,Scots Bay,45.14533333,-65.0025,2022-09-06,249,Scots Bay,45.5,-66,113,13,NA,NA
594122,2022-08-24,236,Scots Bay,45.14533333,-65.0025,2024-09-17,261,Scots Bay,45.5,-66,NA,755,NA,NA
594164,2022-08-24,236,Scots Bay,45.14533333,-65.0025,2022-09-06,249,Scots Bay,45.5,-66,106,13,NA,NA
