Total Returned Tags,Returned Tags,Returned from,Total Tags,All Tags,Notes
,500364,Connors,,591382,
,498240,Connors,,591383,
,470126,Connors,,591384,
,473214,Connors,,591385,
,491692,Connors,,591386,
,502958,Connors,,591387,
,467198,Connors,,591388,
,510572,Connors,,591389,
,467358,Connors,,591390,
,498576,Connors,,591391,
,502572,Connors,,591392,
,475144,Connors,,591393,
,467256,Connors,,591394,
,502370,Connors,,591395,
,522879,Connors,,591396,
,491586,Connors,,591397,
,491516,Connors,,591398,
,495915,Connors,,591399,
,499873,Connors,,591400,
,498984,Connors,,591401,
,498826,Connors,,591402,
,505404,Connors,,591403,
,522758,Connors,,591404,
,502884,Connors,,591405,
,502882,Connors,,591406,
,468159,Connors,,591407,
,591503,Connors,,591408,
,468423,Connors,,591409,
,498010,Connors,,591410,
,591493,Connors,,591411,
,591369,Connors,,591412,
,591846,Connors,,591413,
,591852,Connors,,591414,
,523014,Connors,,591415,
,588238,Connors,,591416,
,468178,Connors,,591417,
,591600,Connors,,591418,
,591607,Connors,,591419,
,602007,Connors,,591420,
,505880,Connors,,591421,
,505007,Connors,,591422,
,523150,Connors,,591423,
,523045,Connors,,591424,
,505872,Connors,,591425,
,523083,Connors,,591426,
,509777,Connors,,591427,
,523133,Connors,,591428,
,591960,Connors,,591429,
,505297,Connors,,591430,
,556174,Connors,,591431,
,505176,Connors,,591432,
,508104,Connors,,591433,
,505521,Connors,,591434,
,502000,Connors,,591435,
,557437,Connors,,591436,
,501852,Connors,,591437,
,501982,Connors,,591438,
,505131,Connors,,591439,
,560446,Connors,,591440,
,521167,Connors,,591441,
,568430,Connors,,591442,
,521197,Connors,,591443,
,559575,Connors,,591444,
,560018,Connors,,591445,
,557602,Connors,,591446,
,560046,Connors,,591447,
,509127,Connors,,591448,
,561915,Connors,,591449,
,468272,Connors,,591450,
,559785,Connors,,591451,
,561260,Connors,,591452,
,555114,Connors,,591453,
,508074,Connors,,591454,
,565682,Connors,,591455,
,523664,Connors,,591456,
,509161,Connors,,591457,
,1,Connors,,591458,
,523995,Connors,,591459,
,508990,Connors,,591460,
,470705,Connors,,591461,
,476334,Connors,,591462,
,555384,Connors,,591463,
,509814,Connors,,591464,
,561379,Connors,,591465,
,561437,Connors,,591466,
,556332,Connors,,591467,
,561296,Connors,,591468,
,558301,Connors,,591469,
,1,Connors,,591470,
,509188,Connors,,591471,
,476485,Connors,,591472,
,555955,Connors,,591473,
,556380,Connors,,591474,
,565723,Connors,,591475,
,505883,Connors,,591476,
,508798,Connors,,591477,
,555352,Connors,,591478,
,524866,Connors,,591479,
,508679,Connors,,591480,
,561287,Connors,,591481,
,562495,Connors,,591482,
,558943,Connors,,591483,
,498239,Connors,,591484,
,522253,Connors,,591485,
,564165,Connors,,591486,
,564732,Connors,,591487,
,564009,Connors,,591488,
,471585,Connors,,591489,
,569104,Connors,,591490,
,471670,Connors,,591491,
,569145,Connors,,591492,
,564382,Connors,,591051,
,471465,Connors,,591052,
,564924,Connors,,591053,
,563876,Connors,,591054,
,569010,Connors,,591055,
,564498,Connors,,591056,
,509873,Connors,,591057,
,501779,Connors,,591058,
,523959,Connors,,591059,
,508285,Connors,,591060,
,561970,Connors,,591061,
,505335,Connors,,591062,
,591757,Connors,,591063,
,558173,Connors,,591064,
,500542,Connors,,591065,
,500630,Connors,,591066,
,559833,Connors,,591067,
,523968,Connors,,591068,
,559531,Connors,,591069,
,549681,Connors,,591070,
,500134,Connors,,591071,
,500428,Connors,,591072,
,522355,Connors,,591073,
,523131,Connors,,591074,
,501048,Connors,,591075,
,473477,Connors,,591076,
,557301,Connors,,591077,
,560602,Connors,,591078,
,523994,Connors,,591079,
,508845,Connors,,591080,
,467022,Connors,,591081,
,500429,Connors,,591082,
,500071,Connors,,591083,
,502632,Connors,,591084,
,502334,Connors,,591085,
,567141,Connors,,591086,
,567191,Connors,,591087,
,564321,Connors,,591088,
,567423,Connors,,591089,
,498755,Connors,,591090,
,567187,Connors,,591091,
,564948,Connors,,591092,
,564390,Connors,,591093,
,567283,Connors,,591094,
,567195,Connors,,591095,
,564552,Connors,,591096,
,564006,Connors,,591097,
,567124,Connors,,591098,
,471801,Connors,,591099,
,569083,Connors,,591100,
,471782,Connors,,591101,
,471864,Connors,,591102,
,564001,Connors,,591103,
,564177,Connors,,591104,
,471882,Connors,,591105,
,1,Connors,,591106,
,567276,Connors,,591107,
,567190,Connors,,591108,
,1,Connors,,591109,
,471828,Connors,,591110,
,564522,Connors,,591111,
,567159,Connors,,591112,
,564576,Connors,,591113,
,564150,Connors,,591114,
,564538,Connors,,591115,
,564414,Connors,,591116,
,567092,Connors,,591117,
,471740,Connors,,591118,
,471820,Connors,,591119,
,471816,Connors,,591120,
,567225,Connors,,591121,
,564846,Connors,,591122,
,471641,Connors,,591123,
,471766,Connors,,591124,
,564193,Connors,,591125,
,567273,Connors,,591126,
,564636,Connors,,591127,
,564304,Connors,,591128,
,564769,Connors,,591129,
,564307,Connors,,591130,
,569115,Connors,,591131,
,564412,Connors,,591132,
,564015,Connors,,591133,
,567241,Connors,,591134,
,569212,Connors,,591135,
,564712,Connors,,591136,
,572481,Connors,,591137,
,564708,Connors,,591138,
,567193,Connors,,591139,
,564901,Connors,,591140,
,567249,Connors,,591141,
,564930,Connors,,591142,
,564841,Connors,,591143,
,564970,Connors,,591144,
,567025,Connors,,591145,
,564343,Connors,,591146,
,502285,Connors,,591147,
,577188,Connors,,591148,
,471554,Connors,,591149,
,572454,Connors,,591150,
,564875,Connors,,591151,
,564957,Connors,,591152,
,564403,Connors,,591153,
,564002,Connors,,591154,
,564010,Connors,,591155,
,572251,Connors,,591156,
,564061,Connors,,591157,
,473086,Connors,,591158,
,567119,Connors,,591159,
,1,Connors,,591160,
,530309,Connors,,591161,
,577897,Connors,,591162,
,569644,Connors,,591163,
,569804,Connors,,591164,
,530126,Connors,,591165,
,577865,Connors,,591166,
,530012,Connors,,591167,
,564442,Connors,,591168,
,569550,Connors,,591169,
,1,Connors,,591170,
,569645,Connors,,591171,
,530118,Connors,,591172,
,567112,Connors,,591173,
,578804,Connors,,591174,
,1,Connors,,591175,
,569594,Connors,,591176,
,471788,Connors,,591177,
,569480,Connors,,591178,
,577896,Connors,,591179,
,578996,Connors,,591180,
,567149,Connors,,591181,
,577765,Connors,,591182,
,1,Connors,,591183,
,530062,Connors,,591184,
,530003,Connors,,591185,
,577889,Connors,,591186,
,567264,Connors,,591187,
,1,Connors,,591188,
,569632,Connors,,591189,
,497255,Connors,,591190,
,1,Connors,,591191,
,530032,Connors,,591192,
,567580,Connors,,591193,
,1,Connors,,591194,
,569222,Connors,,591195,
,564577,Connors,,591196,
,471671,Connors,,591197,
,471605,Connors,,591198,
,564641,Connors,,591199,
,564517,Connors,,591200,
,471705,Connors,,591201,
,564317,Connors,,591202,
,564925,Connors,,591203,
,564033,Connors,,591204,
,572437,Connors,,591205,
,564346,Connors,,591206,
,564465,Connors,,591207,
,569220,Connors,,591208,
,502232,Connors,,591209,
,502078,Connors,,591210,
,577857,Connors,,591211,
,577764,Connors,,591212,
,578869,Connors,,591213,
,569611,Connors,,591214,
,577933,Connors,,591215,
,495472,Connors,,591216,
,578964,Connors,,591217,
,569689,Connors,,591218,
,572434,Connors,,591219,
,569834,Connors,,591220,
,567558,Connors,,591221,
,567504,Connors,,591222,
,532380,Connors,,591223,
,528334,Connors,,591224,
,567366,Connors,,591225,
,567456,Connors,,591226,
,532379,Connors,,591227,
,528252,Connors,,591228,
,564556,Connors,,591229,
,564959,Connors,,591230,
,591108,Connors,,591231,
,564167,Connors,,591232,
,564234,Connors,,591233,
,532328,Connors,,591234,
,573297,Connors,,591235,
,567517,Connors,,591236,
,528223,Connors,,591237,
,574256,Connors,,591238,
,528317,Connors,,591239,
,532306,Connors,,591240,
,574299,Connors,,591241,
,567425,Connors,,591242,
,567564,Connors,,591243,
,528373,Connors,,591244,
,574585,Connors,,591245,
,477328,Connors,,591246,
,567715,Connors,,591247,
,528594,Connors,,591248,
,567738,Connors,,591249,
,567844,Connors,,591250,
,577890,Connors,,591251,
,567940,Connors,,591252,
,528553,Connors,,591253,
,567863,Connors,,591254,
,567948,Connors,,591255,
,567858,Connors,,591256,
,569797,Connors,,591257,
,567883,Connors,,591258,
,567780,Connors,,591259,
,528601,Connors,,591260,
,528701,Connors,,591261,
,567819,Connors,,591262,
,567922,Connors,,591263,
,574191,Connors,,591264,
,567566,Connors,,591265,
,532316,Connors,,591266,
,567444,Connors,,591267,
,574007,Connors,,591268,
,528311,Connors,,591269,
,572451,Connors,,591270,
,564471,Connors,,591271,
,502892,Connors,,591272,
,528253,Connors,,591273,
,510561,Connors,,591274,
,564541,Connors,,591275,
,564929,Connors,,591276,
,532386,Connors,,591277,
,532319,Connors,,591278,
,569079,Connors,,591279,
,564391,Connors,,591280,
,528796,Connors,,591281,
,557922,Connors,,591282,
,556606,Connors,,591283,
,529172,Connors,,591284,
,603008,Connors,,591285,
,523371,Connors,,591286,
,529315,Connors,,591287,
,556565,Connors,,591288,
,529172,Connors,,591289,
,533762,Connors,,591290,
,521558,Connors,,591291,
,1,Connors,,591292,
,593730,Connors,,591293,
,533753,Connors,,591294,
,529109,Connors,,591295,
,529367,Connors,,588001,
,524121,Connors,,588002,
,524164,Connors,,588003,
