Tag_Num,returnedArea,returnedLat,returnedLon,returnedDate,ReturnedBoat,GearType,Company,Catch.t,dataorigin,originalDF,id,Comments,RemovalReason,returnedJulian,Date,Lon,Lat,Ground,Julian,daysAtLarge,BOAT,returnedDate_parsed,
567627,UNKNOWN,NA,NA,NA,NA,Purse Seine,Connors,NA,complete.returns,Connors Fish Tag Data 2024,UNKNOWN UNKNOWN,NA,Invalid returnedDate,NA,NA,NA,NA,NA,NA,NA,UNKNOWN,NA,
564566,UNKNOWN,NA,NA,NA,NA,Purse Seine,Connors,NA,complete.returns,Connors Fish Tag Data 2024,UNKNOWN UNKNOWN,NA,Invalid returnedDate,NA,NA,NA,NA,NA,NA,NA,UNKNOWN,NA,
564942,UNKNOWN,NA,NA,NA,NA,Purse Seine,Connors,NA,complete.returns,Connors Fish Tag Data 2024,UNKNOWN UNKNOWN,NA,Invalid returnedDate,NA,NA,NA,NA,NA,NA,NA,UNKNOWN,NA,
564662,UNKNOWN,NA,NA,NA,NA,Purse Seine,Connors,NA,complete.returns,Connors Fish Tag Data 2024,UNKNOWN UNKNOWN,NA,Invalid returnedDate,NA,NA,NA,NA,NA,NA,NA,UNKNOWN,NA,
564401,UNKNOWN,NA,NA,NA,NA,Purse Seine,Connors,NA,complete.returns,Connors Fish Tag Data 2024,UNKNOWN UNKNOWN,NA,Invalid returnedDate,NA,NA,NA,NA,NA,NA,NA,UNKNOWN,NA,
563884,UNKNOWN,NA,NA,NA,NA,Purse Seine,Connors,NA,complete.returns,Connors Fish Tag Data 2024,UNKNOWN UNKNOWN,NA,Invalid returnedDate,NA,NA,NA,NA,NA,NA,NA,UNKNOWN,NA,
564322,UNKNOWN,NA,NA,NA,NA,Purse Seine,Connors,NA,complete.returns,Connors Fish Tag Data 2024,UNKNOWN UNKNOWN,NA,Invalid returnedDate,NA,NA,NA,NA,NA,NA,NA,UNKNOWN,NA,
471403,UNKNOWN,NA,NA,NA,NA,Purse Seine,Connors,NA,complete.returns,Connors Fish Tag Data 2024,UNKNOWN UNKNOWN,NA,Invalid returnedDate,NA,NA,NA,NA,NA,NA,NA,UNKNOWN,NA,
564333,UNKNOWN,NA,NA,NA,NA,Purse Seine,Connors,NA,complete.returns,Connors Fish Tag Data 2024,UNKNOWN UNKNOWN,NA,Invalid returnedDate,NA,NA,NA,NA,NA,NA,NA,UNKNOWN,NA,
572490,UNKNOWN,NA,NA,NA,NA,Purse Seine,Connors,NA,complete.returns,Connors Fish Tag Data 2024,UNKNOWN UNKNOWN,NA,Invalid returnedDate,NA,NA,NA,NA,NA,NA,NA,UNKNOWN,NA,
564476,UNKNOWN,NA,NA,NA,NA,Purse Seine,Connors,NA,complete.returns,Connors Fish Tag Data 2024,UNKNOWN UNKNOWN,NA,Invalid returnedDate,NA,NA,NA,NA,NA,NA,NA,UNKNOWN,NA,
563708,UNKNOWN,NA,NA,NA,NA,Purse Seine,Connors,NA,complete.returns,Connors Fish Tag Data 2024,UNKNOWN UNKNOWN,NA,Invalid returnedDate,NA,NA,NA,NA,NA,NA,NA,UNKNOWN,NA,
563731,UNKNOWN,NA,NA,NA,NA,Purse Seine,Connors,NA,complete.returns,Connors Fish Tag Data 2024,UNKNOWN UNKNOWN,NA,Invalid returnedDate,NA,NA,NA,NA,NA,NA,NA,UNKNOWN,NA,
572411,UNKNOWN,NA,NA,2023-06-01,UNKNOWN,Purse Seine,Connors,NA,2023TagReturns,complete.returns,2023-06-01 UNKNOWN,NA,Days at large <= 0 ( -87 ),152,2023-08-27,-65.06972222,45.13527778,Scots Bay,239,-87,NA,NA,
557301,White Head,NA,NA,2023-07-05,Brunswick Provider,Purse Seine/Frozen,Connors,48,2023TagReturns,Connor Bros Copy of Fish Tag Data 2023.xlsx,2023-07-05 Brunswick Provider,NA,Days at large <= 0 ( 0 ),186,2023-07-05,-66.58416667,44.59305556,Grand Manan,186,0,NA,NA,
523994,White Head,NA,NA,2023-07-05,Brunswick Provider,Purse Seine/Frozen,Connors,48,2023TagReturns,Connor Bros Copy of Fish Tag Data 2023.xlsx,2023-07-05 Brunswick Provider,NA,Days at large <= 0 ( 0 ),186,2023-07-05,-66.5922222,43.6216667,Gannet Dry Ledge,186,0,NA,NA,
