"","TAG_NUMBER","plantReturnPlace","ReturnDate","ReturnVessel","ReturnGearType","ReturnCompany","Catch.plant","dataorigin","WEIRNO","portCode","OfficialReturnPlace","ReturnNAFO","Vessel","X_return","Y_return","Catch.DFO","Wharf_Name","Actual.Date"
"419","481753","GERMAN BANK-AREA 7",2021-10-26,"Lady Janice II","Purse Seine","Comeau - Sea Life",71,"ComeauReturns2021.csv",NA,NA,NA,"4XQ",NA,43.21783,-66.332,55.78573,NA,2021-10-25
"420","481979","GERMAN BANK-AREA 7",2021-10-05,"Sealife II","Purse Seine","Comeau - Sea Life",139,"ComeauReturns2021.csv",NA,NA,NA,"4XQ",NA,43.29,-66.45333,117.61541,NA,2021-10-04
"421","482046","Lurcher",2020-09-10,"Canada 100","Purse Seine","Connors",24,"ConnorsReturns2020.csv",NA,NA,NA,"4XQ",NA,43.87717,-66.51433,24,NA,2020-09-10
"422","482292","German Bank",2020-10-14,"Fundy Monarch","Purse Seine","Connors",134,"ConnorsReturns2020.csv",NA,NA,NA,"4XS",NA,44.95,-66.76667,22,NA,2020-10-14
"423","482669","German Bank",2022-09-02,"Morning Star","Purse Seine","Scotia Garden",107,"ScotiaGardenReturns2022.csv",NA,NA,NA,"4XQ",NA,43.27917,-66.3605,107.000025,NA,2022-09-01
"424","482882","German Bank",2020-10-05,"Leroy & Barry II","Purse Seine","Scotia Garden",64,"ScotiaGardenReturns2020.csv",NA,NA,NA,"4XQ",NA,43.32667,-66.15667,63.999975,NA,2020-10-05
"425","483667","Lurcher",2020-09-10,"Morning Star","Purse Seine","Cape Breeze",56,"CapeBreezeReturns2020.csv",NA,NA,NA,"4XQ",NA,43.88333,-66.50517,56.00001,NA,2020-09-10
"426","483841","Lurcher",2020-09-10,"Canada 100","Purse Seine","Connors",24,"ConnorsReturns2020.csv",NA,NA,NA,"4XQ",NA,43.87717,-66.51433,24,NA,2020-09-10
"427","484666","Scots Bay",2022-09-06,"Canada 100","Purse Seine","Connors",106,"ConnorsReturns2022.csv",NA,NA,NA,"4XR",NA,45.17333,-64.99667,37.666667,NA,2022-09-06
"428","484725","Prong",2021-08-09,"Fundy Monarch","Purse Seine","Connors",95,"ConnorsReturns2021.csv",NA,NA,NA,"4XR",NA,44.33333,-66.38333,89.000015,NA,2021-08-09
"429","484789","Scots Bay",2021-08-17,"Morning Star","Purse Seine","Scotia Garden",61,"ScotiaGardenReturns2021.csv",NA,NA,NA,"4XR",NA,45.1285,-65.07783,61.00002,NA,2021-08-17
"430","485775","Prong",2021-07-14,"Brunswick Provider","Purse Seine","Connors",92,"ConnorsReturns2021.csv",NA,NA,NA,"4XS",NA,44.71667,-66.71667,87.99999,NA,2021-07-13
"431","485856","Scotts Bay",2021-08-27,"Canada 100","Purse Seine","Connors",64,"ConnorsReturns2021.csv",NA,NA,NA,"4XR",NA,45.15067,-65.017,63.999975,NA,2021-08-27
"432","486889","SCOTS BAY-AREA 8",2021-08-03,"Lady Melissa","Purse Seine","Comeau - Sea Life",55,"ComeauReturns2021.csv",NA,NA,NA,"4XR",NA,45.1355,-65.0205,55,NA,2021-08-02
"433","486910","Scots Bay",2021-08-04,"Morning Star","Purse Seine","Scotia Garden",28,"ScotiaGardenReturns2021.csv",NA,NA,NA,"4XR",NA,45.13533,-65.01517,28,NA,2021-08-04
"434","486911","SCOTS BAY-AREA 8",2021-08-03,"Lady Melissa","Purse Seine","Comeau - Sea Life",55,"ComeauReturns2021.csv",NA,NA,NA,"4XR",NA,45.1355,-65.0205,55,NA,2021-08-02
"435","487227","Grand Manan ",2022-10-17,"Leroy & Barry II","Purse Seine","Scotia Garden",103,"ScotiaGardenReturns2022.csv",NA,NA,NA,"4XS",NA,44.76667,-66.71667,103,NA,2022-10-16
