id,Pressure,Depth,Temperature,Conductivity,Specific_conductance,Salinity,Sound_velocity,Density,ground,plankton_ID,Date,Lat,Lon,Year,Survey
10K100766_20170622_000532,20.85,20.75,8.017071409,32862.63353,49766.12421,31.39959474,1478.421292,1024.541032,Scots Bay,SB2017-01,2017-06-22,45.115,-65.24,2017,1
10K100766_20170622_000532,21.15,21.05,8.015419175,32865.09926,49772.34893,31.40355328,1478.42481,1024.545748,Scots Bay,SB2017-01,2017-06-22,45.115,-65.24,2017,1
10K100766_20170622_000532,21.45,21.35,8.014163572,32861.024,49768.06989,31.40023019,1478.420828,1024.544698,Scots Bay,SB2017-01,2017-06-22,45.115,-65.24,2017,1
10K100766_20170622_000532,21.75,21.65,8.017914933,32863.45148,49766.09145,31.39930153,1478.438888,1024.544811,Scots Bay,SB2017-01,2017-06-22,45.115,-65.24,2017,1
10K100766_20170622_000532,22.05,21.95,8.015020954,32861.53766,49767.55536,31.39973658,1478.433314,1024.546941,Scots Bay,SB2017-01,2017-06-22,45.115,-65.24,2017,1
10K100766_20170622_000532,22.35,22.25,8.014348312,32861.4584,49768.4493,31.40012175,1478.436142,1024.548716,Scots Bay,SB2017-01,2017-06-22,45.115,-65.24,2017,1
10K100766_20170622_000532,22.65,22.55,8.018107535,32866.27052,49770.07009,31.40171082,1478.457349,1024.550803,Scots Bay,SB2017-01,2017-06-22,45.115,-65.24,2017,1
10K100766_20170622_000532,22.95,22.84,8.016676885,32865.11069,49770.47025,31.40163181,1478.456715,1024.552321,Scots Bay,SB2017-01,2017-06-22,45.115,-65.24,2017,1
10K100766_20170622_000532,23.25,23.14,8.02173757,32865.16044,49762.91809,31.39701162,1478.475196,1024.549353,Scots Bay,SB2017-01,2017-06-22,45.115,-65.24,2017,1
10K100766_20170622_000532,23.55,23.44,8.024311083,32867.94804,49763.2607,31.39752065,1478.490546,1024.550762,Scots Bay,SB2017-01,2017-06-22,45.115,-65.24,2017,1
10K100766_20170622_000532,23.85,23.74,8.030799014,32876.163,49765.92147,31.40026411,1478.523572,1024.553364,Scots Bay,SB2017-01,2017-06-22,45.115,-65.24,2017,1
10K100766_20170622_000532,24.15,24.04,8.033629439,32872.62684,49756.30501,31.39384979,1478.531333,1024.549307,Scots Bay,SB2017-01,2017-06-22,45.115,-65.24,2017,1
10K100766_20170622_000532,24.45,24.34,8.037189655,32875.26434,49754.9348,31.39331532,1478.549147,1024.549756,Scots Bay,SB2017-01,2017-06-22,45.115,-65.24,2017,1
10K100766_20170622_000532,24.75,24.64,8.035495172,32871.77159,49752.2005,31.39100406,1478.544749,1024.549561,Scots Bay,SB2017-01,2017-06-22,45.115,-65.24,2017,1
