id,Area,X,Y
630,4Wk,-62.166667,44.5
631,4Wk,-62,44.5
632,4Wk,-62,44.666667
633,4Wk,-61.5,44.666667
634,4Wk,-61.5,45
635,4Wk,-61.666667,45.166667
636,4Wl,-63.333333,44
637,4Wl,-63.333333,42.666667
638,4Wl,-62.166667,42.666667
639,4Wl,-62.166667,44
640,4Wl,-63.333333,44
641,4Wm,-63.333333,42.666667
642,4Wm,-63.333333,41
643,4Wm,-61.5,41
644,4Wm,-61.5,41.5
645,4Wm,-60.5,41.5
646,4Wm,-60.5,42
647,4Wm,-59,42
648,4Wm,-59,43
649,4Wm,-60.666667,43
650,4Wm,-60.666667,42.666667
651,4Wm,-63.333333,42.666667
652,4X,-66.9,44.783333
653,4X,-66.9,43.833333
654,4X,-67.666667,43.833333
655,4X,-67.666667,42.333333
656,4X,-66,42.333333
657,4X,-65.666667,42
658,4X,-65.666667,39
659,4X,-63.333333,39
660,4X,-63.333333,44.333333
661,4X,-63.5,44.5
662,4X,-63.896896,44.781185
663,4X,-62.555776,45.286649
664,4X,-64.343936,46.036474
665,4X,-68.546112,45.349518
666,4Xl,-65.666667,42
667,4Xl,-65.666667,40.666667
668,4Xl,-65.166667,40.666667
669,4Xl,-65.166667,40.833333
670,4Xl,-64.833333,40.833333
671,4Xl,-64.833333,41
672,4Xl,-64.166667,41
673,4Xl,-64.166667,41.166667
674,4Xl,-63.666667,41.166667
675,4Xl,-63.666667,41.5
676,4Xl,-63.33333,41.5
677,4Xl,-63.333333,42
678,4Xl,-65.666667,42
679,4Xm,-64.5,44.166667
680,4Xm,-64.333333,44
681,4Xm,-64.333333,43.666667
682,4Xm,-63.33333,43.666667
683,4Xm,-63.333333,44.333333
684,4Xm,-63.5,44.5
685,4Xn,-65.5,42.833333
686,4Xn,-65.5,42
687,4Xn,-63.333333,42
688,4Xn,-63.333333,43.666667
689,4Xn,-64.333333,43.666667
690,4Xn,-64.333333,43.333333
691,4Xn,-64.5,43.333333
692,4Xn,-64.5,43.166667
693,4Xn,-64.833333,43.166667
694,4Xn,-64.833333,42.833333
695,4Xn,-65.5,42.833333
696,4Xo,-65.833333,43.583333
697,4Xo,-65.833333,43.166667
698,4Xo,-66.166667,43.166667
699,4Xo,-66.166667,42.833333
700,4Xo,-64.833333,42.833333
701,4Xo,-64.833333,43.166667
702,4Xo,-64.5,43.166667
703,4Xo,-64.5,43.333333
704,4Xo,-64.333333,43.333333
705,4Xo,-64.333333,44
706,4Xo,-64.5,44.166667
707,4Xp,-67.666667,43
708,4Xp,-67.666667,42.333333
709,4Xp,-66,42.333333
710,4Xp,-65.666667,42
711,4Xp,-65.5,42
712,4Xp,-65.5,42.833333
713,4Xp,-66.166667,42.833333
714,4Xp,-66.166667,43
715,4Xp,-67.666667,43
716,4Xq,-66.166667,44
717,4Xq,-66.9,44
718,4Xq,-66.9,43.833333
719,4Xq,-67.666667,43.833333
720,4Xq,-67.666667,43
721,4Xq,-66.166667,43
722,4Xq,-66.166667,43.166667
723,4Xq,-65.833333,43.166667
724,4Xq,-65.833333,43.583333
725,4Xr,-64.916667,45.333333
726,4Xr,-66.9,44.266667
727,4Xr,-66.9,44
728,4Xr,-66.166667,44
,4Xr,-64.1,45.5
729,4Xs,-66.9,45.3
730,4Xs,-67.2,45.2
731,4Xs,-66.9,44.83
732,4Xs,-66.9,44.266667
733,4Xs,-64.916667,45.333333
734,5Y,-71.666667,41.333333
735,5Y,-70,41.333333
736,5Y,-70,42.333333
737,5Y,-67.666667,42.333333
738,5Y,-67.666667,43.833333
739,5Y,-66.9,43.833333
740,5Y,-66.9,44.783333
741,5Y,-68.417113,45.379462
742,5Y,-72.511857,42.45778
743,5Yb,-68.083333,44.333333
744,5Yb,-68.083333,44.166667
745,5Yb,-67.666667,44.166667
746,5Yb,-67.666667,43.833333
747,5Yb,-66.9,43.833333
748,5Yb,-66.9,44.83
749,5Yc,-69.333333,43.966667
750,5Yc,-69.333333,43.666667
751,5Yc,-68.833333,43.666667
752,5Yc,-68.833333,43.333333
753,5Yc,-67.666667,43.333333
754,5Yc,-67.666667,44.166667
755,5Yc,-68.083333,44.166667
756,5Yc,-68.083333,44.333333
757,5Yd,-70.833333,42.833333
758,5Yd,-69.166667,42.833333
759,5Yd,-69.166667,43
760,5Yd,-69,43.166667
761,5Yd,-69,43.166667
762,5Yd,-68.833333,43.166667
763,5Yd,-68.833333,43.666667
764,5Yd,-69.333333,43.666667
